aMarkerPercent,alignment,bMarkerPercent,ba,baseDenom,bna,category,corpus,dnmalignment,docId,logdnmalignment,nba,nbna,noLogAlign,numUtterances,powerDenom,replierId,sparsityA,sparsityB,speakerId
0.3333333333333333,0.0,0.16666666666666666,1.0,6.0,1.0,to,Providence,0.0,ale01.xml,0.0,5.0,5.0,0.0,12,6.0,MOT,141,282,TOY
0.4,-0.6931471805599453,0.6666666666666666,1.0,1.0,1.0,you,Providence,-0.16666666666666663,ale01.xml,-0.28768207245178085,1.0,0.0,-0.5,3,2.0,MOT,14,64,OPE
0.3333333333333333,0.0,1.0,1.0,1.0,1.0,what,Providence,0.0,ale02.xml,0.0,0.0,0.0,0.0,2,1.0,AD2,30,21,MOT
0.2916666666666667,-0.7419373447293773,0.23529411764705882,1.0,10.0,3.0,go,Providence,-0.09243697478991597,ale02.xml,-0.4989911661189881,6.0,7.0,-0.15714285714285714,17,7.0,MOT,306,85,AD2
0.006329113924050633,1.6158688027643908,0.20382165605095542,1.0,156.0,31.0,a,Providence,0.7961783439490446,ale03.xml,1.5905099025485814,0.0,125.0,0.8012820512820513,157,1.0,MOT,727,2906,CHI
0.008,1.5540878173509354,0.21774193548387097,1.0,123.0,26.0,a,Providence,0.782258064516129,ale04.xml,1.5244446996007077,0.0,97.0,0.7886178861788617,124,1.0,MOT,691,2017,CHI
0.006756756756756757,1.848112405779187,0.16326530612244897,1.0,146.0,23.0,oh,Providence,0.8367346938775511,ale06.xml,1.8123787564307907,0.0,123.0,0.8424657534246576,147,1.0,MOT,782,2288,CHI
0.2,0.4054651081081645,0.375,1.0,6.0,2.0,is,Providence,0.125,ale06.xml,0.2876820724517809,1.0,4.0,0.16666666666666669,8,2.0,MOT,36,170,GRA
0.125,1.791759469228055,0.2857142857142857,1.0,6.0,1.0,oh,Providence,0.7142857142857143,ale07.xml,1.252762968495368,0.0,5.0,0.8333333333333334,7,1.0,MOT,31,90,FAT
0.125,1.791759469228055,0.2857142857142857,1.0,6.0,1.0,he,Providence,0.7142857142857143,ale07.xml,1.252762968495368,0.0,5.0,0.8333333333333334,7,1.0,MOT,56,60,GRA
0.07692307692307693,1.7047480922384253,0.25,1.0,11.0,2.0,that,Providence,0.75,ale07.xml,1.3862943611198906,0.0,9.0,0.8181818181818181,12,1.0,FAT,50,42,CHI
0.2222222222222222,0.916290731874155,0.2857142857142857,1.0,5.0,1.0,you,Providence,0.2142857142857143,ale07.xml,0.5596157879354228,1.0,4.0,0.3,7,2.0,MOT,56,60,GRA
0.12786885245901639,0.78055911834003,0.08270676691729323,6.0,227.0,16.0,that,Providence,0.07113938692886063,ale07.xml,0.6206516785217921,33.0,211.0,0.08336157234835649,266,39.0,CHI,3025,832,MOT
0.11036789297658862,0.34509297966511987,0.045112781954887216,2.0,233.0,10.0,this,Providence,0.015493278651173392,ale07.xml,0.2952292780871639,31.0,223.0,0.01768760567043829,266,33.0,CHI,3025,832,MOT
0.05673758865248227,0.10981486600720647,0.05639097744360902,1.0,250.0,14.0,what,Providence,0.006109022556390981,ale07.xml,0.1028573854397079,15.0,236.0,0.006499999999999999,266,16.0,CHI,3025,832,MOT
0.09830508474576272,-0.38414233863934344,0.04887218045112782,1.0,237.0,12.0,is,Providence,-0.014389421830438162,ale07.xml,-0.34874887866631177,28.0,225.0,-0.016150152771715408,266,29.0,CHI,3025,832,MOT
0.004694835680751174,2.712800803860808,0.07075471698113207,1.0,211.0,14.0,one,Providence,0.9292452830188679,ale08.xml,2.6485360735698023,0.0,197.0,0.933649289099526,212,1.0,MOT,758,2261,CHI
0.0319634703196347,1.8730224333068208,0.05188679245283019,2.0,205.0,9.0,oh,Providence,0.23382749326145552,ale08.xml,1.7059280333782736,5.0,196.0,0.24181184668989547,212,7.0,MOT,758,2261,CHI
0.013953488372093023,1.535671762194491,0.07547169811320754,1.0,209.0,15.0,is,Providence,0.2578616352201258,ale08.xml,1.4853852637641214,2.0,194.0,0.26156299840510366,212,3.0,MOT,758,2261,CHI
0.0319634703196347,0.8121504726215583,0.1320754716981132,2.0,205.0,26.0,a,Providence,0.1536388140161725,ale08.xml,0.7716187960014405,5.0,179.0,0.15888501742160277,212,7.0,MOT,758,2261,CHI
0.1016949152542373,0.40016005587847125,0.1179245283018868,4.0,188.0,21.0,that,Providence,0.04874213836477986,ale08.xml,0.3459509805757568,20.0,167.0,0.054964539007092195,212,24.0,MOT,758,2261,CHI
0.11666666666666667,0.20875481386211003,0.08962264150943396,3.0,184.0,16.0,what,Providence,0.01752021563342318,ale08.xml,0.1785550739984778,25.0,168.0,0.020186335403726705,212,28.0,MOT,758,2261,CHI
0.09722222222222222,1.4213856809311607,0.011538461538461539,1.0,232.0,2.0,this,Providence,0.024175824175824173,ale09.xml,1.1298648321722138,27.0,230.0,0.0270935960591133,260,28.0,CHI,2430,947,MOT
0.051094890510948905,1.074514737089049,0.026923076923076925,1.0,246.0,6.0,is,Providence,0.0445054945054945,ale09.xml,0.9757141523449557,13.0,240.0,0.0470383275261324,260,14.0,CHI,2430,947,MOT
0.0812720848056537,0.3866557761506684,0.03076923076923077,1.0,237.0,7.0,what,Providence,0.012709030100334445,ale09.xml,0.34574587340654217,22.0,230.0,0.013942395890662262,260,23.0,CHI,2430,947,MOT
0.061371841155234655,-0.5982484387371496,0.10384615384615385,1.0,243.0,26.0,that,Providence,-0.04502262443438915,ale09.xml,-0.5683685790450177,16.0,217.0,-0.048172355361897845,260,17.0,CHI,2430,947,MOT
0.025,2.9444389791664403,0.019230769230769232,1.0,152.0,2.0,where,Providence,0.23076923076923078,ale10.xml,2.5649493574615363,3.0,150.0,0.2368421052631579,156,4.0,MOT,542,1589,CHI
0.058823529411764705,2.70805020110221,0.010416666666666666,1.0,180.0,1.0,oh,Providence,0.07291666666666666,ale10.xml,2.0794415416798357,11.0,179.0,0.07777777777777778,192,12.0,CHI,1788,732,MOT
0.07692307692307693,2.3978952727983707,0.16666666666666666,1.0,11.0,1.0,you,Providence,0.8333333333333334,ale10.xml,1.791759469228055,0.0,10.0,0.9090909090909091,12,1.0,TO2,68,112,MOT
0.030303030303030304,2.0476928433652555,0.026041666666666668,1.0,186.0,4.0,go,Providence,0.140625,ale10.xml,1.856297990365626,5.0,182.0,0.14516129032258063,192,6.0,CHI,1788,732,MOT
0.025,1.845826690498331,0.04487179487179487,1.0,152.0,6.0,no,Providence,0.20512820512820512,ale10.xml,1.717651497074333,3.0,146.0,0.21052631578947367,156,4.0,MOT,542,1589,CHI
0.018867924528301886,1.0986122886681098,0.11538461538461539,1.0,153.0,17.0,it,Providence,0.21794871794871792,ale10.xml,1.0608719606852623,2.0,136.0,0.2222222222222222,156,3.0,MOT,542,1589,CHI
0.14754098360655737,0.46536324968923326,0.07692307692307693,3.0,129.0,9.0,that,Providence,0.03418803418803418,ale10.xml,0.3677247801253172,24.0,120.0,0.04134366925064599,156,27.0,MOT,542,1589,CHI
0.09433962264150944,-0.5562879978427477,0.16666666666666666,2.0,172.0,30.0,that,Providence,-0.06666666666666665,ale10.xml,-0.5108256237659905,18.0,142.0,-0.07441860465116279,192,20.0,CHI,1788,732,MOT
0.047619047619047616,2.9444389791664407,0.1,1.0,19.0,1.0,it,Providence,0.9,ale11.xml,2.3025850929940455,0.0,18.0,0.9473684210526316,20,1.0,MOT,101,204,GRA
0.0625,1.945910149055314,0.00909090909090909,1.0,308.0,2.0,oh,Providence,0.03636363636363636,ale11.xml,1.609437912434101,21.0,306.0,0.03896103896103896,330,22.0,CHI,2916,1302,MOT
0.09090909090909091,1.791759469228055,0.25,2.0,18.0,3.0,a,Providence,0.75,ale11.xml,1.3862943611198906,0.0,15.0,0.8333333333333334,20,2.0,MOT,101,204,GRA
0.02702702702702703,1.6094379124341,0.1111111111111111,1.0,70.0,7.0,this,Providence,0.3888888888888889,ale11.xml,1.5040773967762742,1.0,63.0,0.4,72,2.0,MOT,295,657,CHI
0.2222222222222222,0.916290731874155,0.2857142857142857,1.0,5.0,1.0,that,Providence,0.2142857142857143,ale11.xml,0.5596157879354228,1.0,4.0,0.3,7,2.0,UNC,38,34,CHI
0.1,0.4700036292457357,0.08333333333333333,1.0,64.0,5.0,that,Providence,0.04166666666666667,ale11.xml,0.4054651081081646,7.0,59.0,0.046875,72,8.0,MOT,295,657,CHI
0.03508771929824561,0.3593740009078976,0.11818181818181818,2.0,318.0,37.0,no,Providence,0.04848484848484848,ale11.xml,0.34377153910282443,10.0,281.0,0.05031446540880502,330,12.0,CHI,2916,1302,MOT
0.12,-0.7932306391169277,0.045454545454545456,1.0,285.0,14.0,this,Providence,-0.023232323232323233,ale11.xml,-0.715620036412004,44.0,271.0,-0.026900584795321637,330,45.0,CHI,2916,1302,MOT
0.004761904761904762,4.6443908991413725,0.014354066985645933,1.0,208.0,2.0,up,Providence,0.9856459330143541,ale12.xml,4.243721963296701,0.0,206.0,0.9903846153846154,209,1.0,MOT,695,2058,CHI
0.02336448598130841,3.708682081410116,0.03827751196172249,4.0,204.0,4.0,all,Providence,0.7617224880382776,ale12.xml,3.0397491589707655,1.0,200.0,0.7803921568627451,209,5.0,MOT,695,2058,CHI
0.05405405405405406,2.803360380906535,0.05714285714285714,1.0,33.0,1.0,that,Providence,0.44285714285714284,ale12.xml,2.169053700369523,1.0,32.0,0.4696969696969697,35,2.0,GRA,263,231,MOT
0.05405405405405406,2.803360380906535,0.05714285714285714,1.0,33.0,1.0,was,Providence,0.44285714285714284,ale12.xml,2.169053700369523,1.0,32.0,0.4696969696969697,35,2.0,GRA,263,231,MOT
0.05405405405405406,2.803360380906535,0.05714285714285714,1.0,33.0,1.0,he,Providence,0.44285714285714284,ale12.xml,2.169053700369523,1.0,32.0,0.4696969696969697,35,2.0,GRA,263,231,MOT
0.05555555555555555,2.772588722239781,0.11764705882352941,1.0,16.0,1.0,no,Providence,0.8823529411764706,ale12.xml,2.1400661634962708,0.0,15.0,0.9375,17,1.0,GRA,55,100,CHI
0.07894736842105263,2.367123614131617,0.05714285714285714,1.0,32.0,1.0,oh,Providence,0.27619047619047615,ale12.xml,1.7635885922613588,2.0,31.0,0.3020833333333333,35,3.0,GRA,263,231,MOT
0.041666666666666664,1.9924301646902063,0.17391304347826086,1.0,22.0,3.0,have,Providence,0.8260869565217391,ale12.xml,1.749199854809259,0.0,19.0,0.8636363636363636,23,1.0,MOT,121,259,GRA
0.125,1.791759469228055,0.2857142857142857,1.0,6.0,1.0,that,Providence,0.7142857142857143,ale12.xml,1.252762968495368,0.0,5.0,0.8333333333333334,7,1.0,FAT,25,32,CHI
0.08796296296296297,1.726518947359654,0.04060913705583756,3.0,178.0,5.0,that,Providence,0.1172855997862677,ale12.xml,1.3579354965598218,16.0,173.0,0.1298048492016558,197,19.0,CHI,1489,645,MOT
0.17857142857142858,1.6863989535702288,0.21739130434782608,3.0,18.0,2.0,like,Providence,0.3826086956521739,ale12.xml,1.0152306797290587,2.0,16.0,0.4888888888888889,23,5.0,MOT,121,259,GRA
0.16666666666666666,1.3862943611198904,0.2,1.0,8.0,1.0,you,Providence,0.3,ale12.xml,0.916290731874155,1.0,7.0,0.375,10,2.0,MOT,49,65,FAT
0.17857142857142858,1.2809338454620645,0.17391304347826086,2.0,18.0,2.0,it,Providence,0.22608695652173916,ale12.xml,0.8329091229351041,3.0,16.0,0.2888888888888889,23,5.0,MOT,121,259,GRA
0.08,1.252762968495368,0.17391304347826086,1.0,21.0,3.0,that,Providence,0.32608695652173914,ale12.xml,1.056052674249314,1.0,18.0,0.35714285714285715,23,2.0,MOT,121,259,GRA
0.11538461538461539,0.7985076962177715,0.17391304347826086,1.0,20.0,3.0,you,Providence,0.15942028985507245,ale12.xml,0.6505875661411493,2.0,17.0,0.18333333333333332,23,3.0,MOT,121,259,GRA
0.05429864253393665,0.7188555372701522,0.1291866028708134,3.0,197.0,24.0,that,Providence,0.1208133971291866,ale12.xml,0.6602030248405912,9.0,173.0,0.1281725888324873,209,12.0,MOT,695,2058,CHI
0.14634146341463414,0.1892419996385284,0.14285714285714285,1.0,29.0,4.0,you,Providence,0.023809523809523808,ale12.xml,0.1541506798272585,5.0,25.0,0.02873563218390804,35,6.0,GRA,263,231,MOT
0.16666666666666666,0.0,0.5,1.0,8.0,4.0,it,Providence,0.0,ale12.xml,0.0,1.0,4.0,0.0,10,2.0,MOT,49,65,FAT
0.022222222222222223,3.068052935133617,0.011363636363636364,1.0,258.0,2.0,up,Providence,0.1553030303030303,ale13.xml,2.685577345250152,5.0,256.0,0.15891472868217055,264,6.0,MOT,1197,2097,CHI
0.0037735849056603774,2.5276315944543417,0.08333333333333333,1.0,263.0,21.0,a,Providence,0.9166666666666666,ale13.xml,2.4849066497880004,0.0,242.0,0.9201520912547528,264,1.0,MOT,1197,2097,CHI
0.1111111111111111,1.5404450409471488,0.11363636363636363,12.0,231.0,18.0,no,Providence,0.25,ale13.xml,1.163150809805681,21.0,213.0,0.2857142857142857,264,33.0,MOT,1197,2097,CHI
0.011235955056179775,1.4213856809311607,0.25,3.0,261.0,63.0,you,Providence,0.75,ale13.xml,1.3862943611198906,0.0,198.0,0.7586206896551724,264,3.0,MOT,1197,2097,CHI
0.10526315789473684,1.3217558399823193,0.014705882352941176,1.0,180.0,2.0,one,Providence,0.026960784313725488,ale13.xml,1.0414538748281612,23.0,178.0,0.03055555555555555,204,24.0,CHI,1550,792,MOT
0.1875,1.2039728043259357,0.15384615384615385,1.0,10.0,1.0,on,Providence,0.17948717948717946,ale13.xml,0.7731898882334816,2.0,9.0,0.2333333333333333,13,3.0,FAT,110,67,MOT
0.1111111111111111,1.1837700970084166,0.08333333333333333,7.0,231.0,15.0,one,Providence,0.12878787878787878,ale13.xml,0.9343092373768334,26.0,216.0,0.1471861471861472,264,33.0,MOT,1197,2097,CHI
0.04225352112676056,0.8785504038913077,0.049019607843137254,1.0,195.0,9.0,no,Providence,0.06209150326797385,ale13.xml,0.818310323513951,8.0,186.0,0.06495726495726495,204,9.0,CHI,1550,792,MOT
0.2,0.40546510810816444,0.75,1.0,3.0,2.0,the,Providence,0.25,ale13.xml,0.2876820724517809,0.0,1.0,0.33333333333333337,4,1.0,TO1,13,48,MOT
0.04,0.19105523676270897,0.07575757575757576,1.0,253.0,19.0,that,Providence,0.015151515151515152,ale13.xml,0.18232155679395445,10.0,234.0,0.015810276679841903,264,11.0,MOT,1197,2097,CHI
0.1282051282051282,-0.4393666597838455,0.14705882352941177,3.0,174.0,27.0,that,Providence,-0.047058823529411764,ale13.xml,-0.3856624808119844,27.0,147.0,-0.05517241379310345,204,30.0,CHI,1550,792,MOT
0.0023923444976076554,4.421247347827163,0.014388489208633094,1.0,416.0,5.0,want,Providence,0.9856115107913669,ale14.xml,4.241326752570746,0.0,411.0,0.9879807692307693,417,1.0,MOT,1203,3518,CHI
0.007142857142857143,3.674490716661836,0.02158273381294964,2.0,414.0,7.0,where,Providence,0.645083932853717,ale14.xml,3.4303965363544173,1.0,407.0,0.6497584541062802,417,3.0,MOT,1203,3518,CHI
