ba,nba,bna,nbna,vspeak,vreply,sid,rid,category,pyalign,dnm,lo1,sd0,pa1,pb1,nu
8,2,7,1,FALSE,FALSE,105966714,16868756,PRO,-0.0645385211375712,-0.0333333333333333,-0.0645385211375706,-0.0333333333333333,-0.0763729787845739,-0.0805263836200876,18
0,1,1,0,FALSE,FALSE,105966714,17597371,PRO,-0.693147180559945,-0.5,-0.693147180559945,-0.5,-1.09861228866811,-1.09861228866811,2
8,2,2,0,FALSE,FALSE,105966714,17943537,PRO,0,-0.0333333333333333,0,-0.0333333333333333,-0.162204414634355,-0.162204414634355,12
1,0,0,1,FALSE,FALSE,105966714,19087651,PRO,0.693147180559945,0.5,0.693147180559945,0.5,1.09861228866811,1.09861228866811,2
3,3,4,2,FALSE,FALSE,105966714,20689236,PRO,-0.22314355131421,-0.0833333333333334,-0.22314355131421,-0.0833333333333334,-0.251314428280906,-0.246133069538909,12
5,3,3,1,FALSE,FALSE,105966714,2191120380,PRO,-0.105360515657826,-0.0416666666666666,-0.105360515657827,-0.0416666666666666,-0.152468593644274,-0.152468593644274,12
1,2,0,1,FALSE,FALSE,105966714,346082172,PRO,0.182321556793955,0.0833333333333333,0.182321556793955,0.0833333333333333,0.154150679827258,0.916290731874155,4
2,2,3,1,FALSE,TRUE,105966714,370113964,PRO,-0.287682072451781,-0.125,-0.287682072451781,-0.125,-0.336472236621213,-0.322773392263051,8
2,0,1,0,FALSE,TRUE,105966714,38232102,PRO,0.117783035656384,0,0.117783035656384,0,0.0645385211375711,0,3
18,23,19,19,FALSE,FALSE,105966714,64591392,PRO,-0.123613955967177,-0.0293300401358444,-0.123613955967177,-0.0293300401358444,-0.126699125256873,-0.126839573696526,79
3,3,1,4,FALSE,FALSE,105966714,6631,PRO,0.559615787935423,0.136363636363636,0.559615787935423,0.136363636363636,0.676197622246172,0.748717031714756,11
7,8,13,8,FALSE,FALSE,105966714,90694228,PRO,-0.257334916062489,-0.0888888888888889,-0.257334916062489,-0.0888888888888889,-0.274314264133788,-0.266059608438615,36
5,2,3,2,FALSE,FALSE,105966714,99297884,PRO,0.154150679827258,0.0476190476190477,0.154150679827258,0.0476190476190477,0.155810431245623,0.147635998806065,12
3,2,1,1,FALSE,FALSE,1064150616,1647677574,PRO,0.133531392624523,0.0285714285714286,0.133531392624523,0.0285714285714286,0.0800427076735364,0.127833371509885,7
3,0,1,0,FALSE,FALSE,1064150616,208105677,PRO,0.182321556793955,0,0.182321556793955,0,0.0689928714869515,0,4
1,4,4,4,FALSE,FALSE,1064150616,215363298,PRO,-0.559615787935423,-0.184615384615385,-0.559615787935423,-0.184615384615385,-0.747214401830221,-0.747214401830221,13
9,10,7,7,FALSE,FALSE,1064150616,2174973061,PRO,-0.048790164169432,-0.0111642743221691,-0.0487901641694317,-0.0111642743221691,-0.053400776727115,-0.0508672185396044,33
20,7,7,3,FALSE,FALSE,1064150616,2303504543,PRO,0.0826917158451134,0.011011011011011,0.0826917158451135,0.011011011011011,0.0521857531705705,0.0521857531705705,37
0,2,1,2,FALSE,FALSE,1064150616,267200411,PRO,-0.470003629245736,-0.2,-0.470003629245735,-0.2,-0.965080896043587,-1.50407739677627,5
0,2,2,1,FALSE,FALSE,1064150616,267425413,PRO,-0.8754687373539,-0.4,-0.8754687373539,-0.4,-1.50407739677627,-1.50407739677627,5
0,1,1,0,FALSE,FALSE,1064150616,26813817,PRO,-0.693147180559945,-0.5,-0.693147180559945,-0.5,-1.09861228866811,-1.09861228866811,2
5,2,3,1,FALSE,FALSE,1064150616,2721436512,PRO,0,-0.012987012987013,-2.22044604925031e-16,-0.012987012987013,-0.0317486983145803,-0.0404409695585106,11
1,0,0,1,FALSE,FALSE,1064150616,280935165,PRO,0.693147180559945,0.5,0.693147180559945,0.5,1.09861228866811,1.09861228866811,2
2,0,1,2,FALSE,FALSE,1064150616,350868903,PRO,0.628608659422374,0.4,0.628608659422374,0.4,0.826678573184468,0.773189888233482,5
16,15,4,6,FALSE,FALSE,1064150616,387237264,PRO,0.212174519943636,0.028324154209284,0.212174519943636,0.028324154209284,0.191494103657247,0.233416688432623,41
1,0,1,0,FALSE,FALSE,1064150616,40763398,PRO,0,0,0,0,0,0,2
14,6,2,1,FALSE,FALSE,1064150616,536727546,PRO,0.127833371509885,0.0043478260869565,0.127833371509884,0.0043478260869565,-0.0130720815673526,0.0376834338343948,23
30,9,11,5,FALSE,FALSE,1064150616,86323449,PRO,0.125880245889003,0.0237762237762238,0.125880245889002,0.0237762237762238,0.108527080645727,0.106609735058258,55
1,2,0,1,FALSE,FALSE,1064150616,98166044,PRO,0.182321556793955,0.0833333333333333,0.182321556793955,0.0833333333333333,0.154150679827258,0.916290731874155,4
2,1,2,1,FALSE,FALSE,1064150616,990743274,PRO,0,0,0,0,0,0,6
21,10,5,7,FALSE,FALSE,1064150616,990786120,PRO,0.441832752279039,0.072768192048012,0.441832752279039,0.072768192048012,0.43335835695829,0.448525259984994,43
1,0,2,0,FALSE,FALSE,10778572,153811467,PRO,-0.117783035656384,0,-0.117783035656384,0,-0.154150679827258,0,3
2,2,3,0,FALSE,TRUE,10778572,167518667,PRO,-0.470003629245736,-0.214285714285714,-0.470003629245735,-0.214285714285714,-0.551647618286246,-0.536801110169251,7
1,0,1,0,FALSE,TRUE,10778572,17837051,PRO,0,0,0,0,0,0,2
8,13,9,6,FALSE,FALSE,10778572,281877818,PRO,-0.40764138753076,-0.0912698412698413,-0.40764138753076,-0.0912698412698413,-0.428656871252149,-0.43002443179464,36
2,2,2,0,FALSE,FALSE,10778572,289462808,PRO,-0.405465108108164,-0.166666666666667,-0.405465108108164,-0.166666666666667,-0.51082562376599,-0.51082562376599,6
2,0,0,1,FALSE,TRUE,10778572,36058478,PRO,0.810930216216329,0.333333333333333,0.810930216216329,0.333333333333333,0.980829253011726,0.980829253011726,3
0,1,0,1,FALSE,FALSE,10778572,368751986,PRO,0,0,0,0,0,NA,2
0,1,0,1,FALSE,TRUE,10778572,5943622,PRO,0,0,0,0,0,NA,2
3,1,4,0,FALSE,FALSE,10778572,604940737,PRO,-0.22314355131421,-0.125,-0.22314355131421,-0.125,-0.251314428280906,-0.2295744416445,8
4,0,2,0,FALSE,TRUE,10778572,961132338,PRO,0.105360515657826,0,0.105360515657826,0,0.0487901641694324,0,6
2,2,1,3,FALSE,FALSE,1101561128,14608335,PRO,0.405465108108164,0.125,0.405465108108165,0.125,0.510825623765991,0.54654370636807,8
1,1,1,8,FALSE,FALSE,1101561128,18300968,PRO,1.01160091167848,0.318181818181818,1.01160091167848,0.318181818181818,1.20397280432594,1.20397280432594,11
0,1,0,1,FALSE,FALSE,1101561128,23116875,PRO,0,0,0,0,0,NA,2
12,9,16,16,FALSE,FALSE,1101561128,45560271,PRO,0.122602322092332,0.0431266846361186,0.122602322092332,0.0431266846361186,0.125806001327383,0.128381166648207,53
7,6,4,7,FALSE,FALSE,1101561128,56347262,PRO,0.326902785605062,0.0801282051282051,0.326902785605062,0.0801282051282051,0.352998469209424,0.360406291551591,24
2,2,1,2,FALSE,TRUE,1101561128,57268394,PRO,0.22314355131421,0.0714285714285715,0.22314355131421,0.0714285714285715,0.269332933783584,0.307484699747961,7
0,1,0,1,FALSE,TRUE,1101561128,60880381,PRO,0,0,0,0,0,NA,2
