Bottom Level Word,Approx Branch Length,Total Branch Frequency,BLC 1,BLC 1 Frequency,BLC 1 Branch Freq Proportion,BLC 1 Location,BLC 2,BLC 2 Frequency,BLC 2 Branch Freq Proportion,BLC 2 Location,BLC 3,BLC 3 Frequency,BLC 3 Branch Freq Proportion,BLC 3 Location
"('invader', 'intruder', 'unwelcome_person')",8,135019,person,123634,0.9156785341322332,0.5,traveler,7746,0.057369703523207846,0.625,intruder,1962,0.014531288189069687,0.875
"('slammer', 'pitcher', 'ballplayer')",10,248676,person,123634,0.49716900706139716,0.4,player,87579,0.3521811513776963,0.6,athlete,25095,0.10091444288954302,0.6
"('tiling', 'manual_labor', 'work')",4,174308,work,174141,0.9990419257865387,0.5,tiling,167,0.0009580742134612295,1.0,NA,0,0.0,NA
"('purveyor', 'supplier', 'businessperson')",7,130791,person,123634,0.9452791094188439,0.5714285714285714,supplier,6340,0.048474283398704805,0.8571428571428571,purveyor,689,0.005267946571247257,1.0
"('bulimia', 'eating_disorder', 'disorder')",4,17320,disorder,16888,0.9750577367205543,0.5,bulimia,432,0.024942263279445726,1.0,NA,0,0.0,NA
"('tautology', 'repetitiveness', 'verboseness')",4,136,tautology,95,0.6985294117647058,0.5,repetitiveness,41,0.3014705882352941,0.75,NA,0,0.0,NA
"('Highness', 'aristocrat', 'leader')",7,218761,person,123634,0.5651555807479395,0.5714285714285714,leader,94316,0.43113717710195143,0.7142857142857143,aristocrat,811,0.0037072421501090232,0.8571428571428571
"('eyebrow', 'hair', 'body_covering')",6,84565,hair,76938,0.9098090226453024,0.8333333333333334,eyebrow,6908,0.08168864187311535,1.0,covering,719,0.008502335481582215,0.5
"('undies', 'lingerie', 'underwear')",9,24790,clothing,10447,0.42141992739007667,0.4444444444444444,commodity,6030,0.24324324324324326,0.2222222222222222,garment,3725,0.15026220250100847,0.5555555555555556
"('televangelist', 'evangelist', 'preacher')",10,224268,person,123634,0.5512779353273761,0.4,leader,94316,0.42055041289885314,0.5,preacher,4373,0.019498992277097043,0.8
"('haggler', 'negotiator', 'communicator')",7,127566,person,123634,0.969176739883668,0.5714285714285714,negotiator,3004,0.023548594453067433,0.8571428571428571,communicator,919,0.007204113948857846,0.7142857142857143
"('conditioner', 'softener', 'chemical')",6,87693,material,57671,0.6576465624394193,0.5,substance,17850,0.20355102459717422,0.3333333333333333,chemical,9829,0.11208420284401263,0.6666666666666666
"('scenarist', 'writer', 'communicator')",7,168474,person,123634,0.733846172109643,0.5714285714285714,writer,43915,0.260663366454171,0.8571428571428571,communicator,919,0.005454847632275603,0.7142857142857143
"('zwieback', 'toast', 'bread')",8,142285,food,119560,0.8402853427979056,0.25,bread,18371,0.12911410197842357,0.75,toast,3056,0.021478019467969216,0.875
"('clubbing', 'symptom', 'cognition')",4,19706,symptom,17989,0.9128691769004365,0.75,cognition,1714,0.08697858520247641,0.5,clubbing,3,0.00015223789708718156,1.0
"('jukebox', 'record_player', 'machine')",5,65329,machine,36514,0.5589248266466653,0.6,device,28031,0.4290743773821733,0.4,jukebox,784,0.012000795971161353,1.0
"('silicate', 'salt', 'chemical')",6,117865,material,57671,0.4892970771645527,0.5,salt,32397,0.27486531200950237,0.8333333333333334,substance,17850,0.15144444915793492,0.3333333333333333
"('curse', 'profanity', 'utterance')",4,4985,curse,2852,0.5721163490471414,1.0,utterance,1339,0.26860581745235707,0.5,profanity,794,0.1592778335005015,0.75
"('iamb', 'metrical_foot', 'poetic_rhythm')",5,12,iamb,12,1.0,1.0,NA,0,0.0,NA,NA,0,0.0,NA
"('bannock', 'flatbread', 'bread')",8,139421,food,119560,0.8575465675902483,0.25,bread,18371,0.13176637665774885,0.75,solid,1289,0.009245379103578371,0.25
"('syphilis', 'venereal_disease', 'contagious_disease')",9,73984,disease,57289,0.7743431012110726,0.5555555555555556,illness,16088,0.21745242214532873,0.4444444444444444,syphilis,607,0.008204476643598616,1.0
"('centerpiece', 'feature', 'concept')",6,206001,idea,133890,0.6499483012218388,0.5,concept,36005,0.17478070494803424,0.6666666666666666,feature,32170,0.1561642904646094,0.8333333333333334
"('fathead', 'fool', 'simpleton')",7,130398,person,123634,0.9481280387736009,0.5714285714285714,fool,6591,0.05054525376156076,0.8571428571428571,simpleton,139,0.0010659672694366478,0.7142857142857143
"('lividness', 'complexion', 'color')",4,94145,color,92512,0.9826544160603324,0.5,complexion,1631,0.01732434011365447,0.75,lividness,2,2.1243826013064954e-05,1.0
"('sweetbread', 'variety_meat', 'meat')",5,23578,meat,22277,0.9448214437187208,0.6,solid,1289,0.054669607261006024,0.4,sweetbread,12,0.000508949020273136,1.0
"('pemmican', 'meat', 'solid')",4,23599,meat,22277,0.9439806771473368,0.75,solid,1289,0.054620958515191324,0.5,pemmican,33,0.0013983643374719267,1.0
"('roomette', 'room', 'structure')",4,229279,room,183811,0.801691389093637,0.75,structure,45453,0.19824318842981695,0.5,roomette,15,6.542247654604215e-05,1.0
"('stepfather', 'father_figure', 'stepparent')",14,760220,man,453818,0.596956144274026,0.42857142857142855,parent,128744,0.16935097734866222,0.6428571428571429,person,123634,0.16262923890452763,0.2857142857142857
"('throat', 'tubular_cavity', 'body_part')",4,15879,throat,15879,1.0,1.0,NA,0,0.0,NA,NA,0,0.0,NA
"('glass', 'glassware', 'tableware')",5,54040,glass,52661,0.974481865284974,0.6,ware,734,0.013582531458179127,0.4,glassware,434,0.008031088082901554,0.8
"('matchstick', 'stick', 'implement')",4,10422,stick,9608,0.9218959892535022,0.75,implement,558,0.0535405872193437,0.5,matchstick,256,0.024563423527154096,1.0
"('eyepiece', 'lens', 'optical_device')",5,38523,device,28031,0.7276432261246528,0.4,lens,9060,0.23518417568725178,0.8,eyepiece,1432,0.03717259818809542,1.0
"('irredentist', 'advocate', 'person')",6,136702,person,123634,0.9044052025573877,0.6666666666666666,advocate,13014,0.09519977761846937,0.8333333333333334,irredentist,54,0.0003950198241430264,1.0
"('amusement', 'delight', 'pleasure')",4,73280,feeling,44881,0.6124590611353712,0.25,pleasure,20101,0.27430403930131003,0.5,delight,5131,0.07001910480349345,0.75
"('nurser', 'person', 'causal_agent')",5,123642,person,123634,0.9999352970673395,0.8,nurser,8,6.470293266042283e-05,1.0,NA,0,0.0,NA
"('gelding', 'male_horse', 'horse')",14,117280,animal,57288,0.4884720327421555,0.21428571428571427,horse,33158,0.28272510231923603,0.7857142857142857,male,22095,0.18839529331514324,0.2857142857142857
"('monomania', 'mania', 'irrational_motive')",5,12984,motivation,11914,0.9175908810844116,0.4,mania,1054,0.08117683302526187,0.8,monomania,16,0.0012322858903265558,1.0
"('balboa', 'Panamanian_monetary_unit', 'monetary_unit')",5,321,balboa,321,1.0,1.0,NA,0,0.0,NA,NA,0,0.0,NA
"('ornithology', 'biology', 'life_science')",9,100576,science,74582,0.7415486796054724,0.5555555555555556,discipline,16641,0.16545696786509703,0.4444444444444444,biology,7545,0.07501789691377665,0.8888888888888888
"('parenthesis', 'written_symbol', 'symbol')",4,32623,signal,16412,0.5030806486221377,0.25,symbol,15499,0.4750942586518714,0.5,parenthesis,712,0.021825092725990865,1.0
