Corpus,DocId,ConvId,SpeakerA,SpeakerB,Marker,Alignment,Utterances that A and B have said with the marker,Utterances that A has said with marker,Utterances B has said with marker,Total utterances,Sparsity A->B,Sparsity B->A
TWITTER,TWITTER,"('308297673', '139539038')",308297673,139539038,Prep,0.8888888888888888,1.0,1.0,1.0,9.0,109,147
TWITTER,TWITTER,"('363961928', '99381112')",363961928,99381112,Prep,0.8,2.0,2.0,2.0,10.0,136,138
TWITTER,TWITTER,"('405728790', '2482534992')",405728790,2482534992,Prep,0.8,1.0,1.0,2.0,10.0,113,110
TWITTER,TWITTER,"('163730859', '2825905798')",163730859,2825905798,Prep,0.75,1.0,1.0,1.0,4.0,29,45
TWITTER,TWITTER,"('163730859', '858126522')",163730859,858126522,Prep,0.75,1.0,1.0,1.0,4.0,23,27
TWITTER,TWITTER,"('330705266', '1705991035')",330705266,1705991035,Prep,0.75,1.0,1.0,1.0,4.0,40,70
TWITTER,TWITTER,"('1906234147', '1396698397')",1906234147,1396698397,Prep,0.6666666666666667,1.0,1.0,1.0,3.0,50,40
TWITTER,TWITTER,"('278328390', '1705991035')",278328390,1705991035,Prep,0.6666666666666667,1.0,1.0,1.0,3.0,41,85
TWITTER,TWITTER,"('278328390', '484961764')",278328390,484961764,Prep,0.33333333333333337,1.0,1.0,2.0,3.0,47,36
TWITTER,TWITTER,"('1705991035', '841076833')",1705991035,841076833,Prep,0.16666666666666669,1.0,2.0,1.0,3.0,75,51
TWITTER,TWITTER,"('139539038', '308297673')",139539038,308297673,Prep,0.11666666666666667,1.0,4.0,2.0,15.0,241,199
TWITTER,TWITTER,"('1906234147', '2419851452')",1906234147,2419851452,Prep,0.1111111111111111,1.0,3.0,2.0,9.0,165,103
TWITTER,TWITTER,"('1088207396', '326492577')",1088207396,326492577,Prep,0.0,0.0,1.0,0.0,1.0,8,10
TWITTER,TWITTER,"('139539038', '1396698397')",139539038,1396698397,Prep,0.0,1.0,1.0,1.0,1.0,9,28
TWITTER,TWITTER,"('139539038', '278328390')",139539038,278328390,Prep,0.0,1.0,1.0,1.0,1.0,13,6
TWITTER,TWITTER,"('1396698397', '1604280403')",1396698397,1604280403,Prep,0.0,0.0,1.0,0.0,3.0,49,37
TWITTER,TWITTER,"('1396698397', '2429604951')",1396698397,2429604951,Prep,0.0,0.0,1.0,0.0,2.0,23,5
TWITTER,TWITTER,"('1396698397', '2482534992')",1396698397,2482534992,Prep,0.0,0.0,1.0,0.0,4.0,48,41
TWITTER,TWITTER,"('1396698397', '841076833')",1396698397,841076833,Prep,0.0,0.0,1.0,0.0,7.0,54,77
TWITTER,TWITTER,"('163645988', '1536302137')",163645988,1536302137,Prep,0.0,1.0,1.0,1.0,1.0,12,22
TWITTER,TWITTER,"('163645988', '2398245474')",163645988,2398245474,Prep,0.0,0.0,1.0,0.0,1.0,12,5
