Corpus,DocId,ConvId,SpeakerA,SpeakerB,Marker,Alignment,Utterances that A and B have said with the marker,Utterances that A has said with marker,Utterances B has said with marker,Total utterances,Sparsity A->B,Sparsity B->A
TWITTER,TWITTER,"('163730859', '1631064974')",163730859,1631064974,Prep,0.0,0.0,1.0,0.0,3.0,54,10
TWITTER,TWITTER,"('163730859', '1729841617')",163730859,1729841617,Prep,0.0,0.0,3.0,0.0,5.0,73,14
TWITTER,TWITTER,"('163730859', '2398245474')",163730859,2398245474,Prep,0.0,0.0,1.0,0.0,3.0,36,14
TWITTER,TWITTER,"('163730859', '467781586')",163730859,467781586,Prep,0.0,0.0,1.0,0.0,1.0,10,3
TWITTER,TWITTER,"('163730859', '68966191')",163730859,68966191,Prep,0.0,0.0,1.0,0.0,2.0,20,8
TWITTER,TWITTER,"('1705991035', '2541854413')",1705991035,2541854413,Prep,0.0,0.0,1.0,0.0,2.0,27,13
TWITTER,TWITTER,"('1906234147', '1729841617')",1906234147,1729841617,Prep,0.0,0.0,2.0,0.0,6.0,94,14
TWITTER,TWITTER,"('1906234147', '2566565666')",1906234147,2566565666,Prep,0.0,0.0,1.0,0.0,9.0,134,75
TWITTER,TWITTER,"('1906234147', '2744930975')",1906234147,2744930975,Prep,0.0,0.0,1.0,0.0,6.0,87,61
TWITTER,TWITTER,"('1906234147', '2831619003')",1906234147,2831619003,Prep,0.0,0.0,4.0,0.0,4.0,44,37
TWITTER,TWITTER,"('1906234147', '326492577')",1906234147,326492577,Prep,0.0,0.0,1.0,0.0,1.0,8,24
TWITTER,TWITTER,"('1906234147', '363961928')",1906234147,363961928,Prep,0.0,0.0,1.0,0.0,3.0,58,17
TWITTER,TWITTER,"('1906234147', '379408088')",1906234147,379408088,Prep,0.0,0.0,2.0,0.0,3.0,38,25
TWITTER,TWITTER,"('1906234147', '68966191')",1906234147,68966191,Prep,0.0,0.0,1.0,0.0,1.0,22,5
TWITTER,TWITTER,"('1906234147', '858126522')",1906234147,858126522,Prep,0.0,0.0,2.0,0.0,8.0,114,60
TWITTER,TWITTER,"('278328390', '163730859')",278328390,163730859,Prep,0.0,0.0,2.0,0.0,2.0,32,36
TWITTER,TWITTER,"('278328390', '1906234147')",278328390,1906234147,Prep,0.0,0.0,1.0,0.0,1.0,15,12
TWITTER,TWITTER,"('278328390', '2225825663')",278328390,2225825663,Prep,0.0,0.0,6.0,0.0,8.0,68,44
TWITTER,TWITTER,"('278328390', '2541854413')",278328390,2541854413,Prep,0.0,0.0,1.0,0.0,3.0,53,26
TWITTER,TWITTER,"('278328390', '379408088')",278328390,379408088,Prep,0.0,0.0,1.0,0.0,1.0,27,7
TWITTER,TWITTER,"('278328390', '382402366')",278328390,382402366,Prep,0.0,0.0,1.0,0.0,6.0,69,35
TWITTER,TWITTER,"('308297673', '99381112')",308297673,99381112,Prep,0.0,1.0,1.0,1.0,1.0,11,6
TWITTER,TWITTER,"('330705266', '2711961214')",330705266,2711961214,Prep,0.0,0.0,3.0,0.0,16.0,162,138
TWITTER,TWITTER,"('330705266', '30892730')",330705266,30892730,Prep,0.0,0.0,1.0,0.0,2.0,30,8
TWITTER,TWITTER,"('330705266', '55592183')",330705266,55592183,Prep,0.0,0.0,2.0,0.0,2.0,39,17
TWITTER,TWITTER,"('363961928', '1396698397')",363961928,1396698397,Prep,0.0,0.0,1.0,0.0,4.0,54,29
TWITTER,TWITTER,"('363961928', '1729841617')",363961928,1729841617,Prep,0.0,0.0,2.0,0.0,12.0,78,45
TWITTER,TWITTER,"('363961928', '2448169998')",363961928,2448169998,Prep,0.0,0.0,1.0,0.0,1.0,11,26
TWITTER,TWITTER,"('363961928', '484961764')",363961928,484961764,Prep,0.0,0.0,1.0,0.0,3.0,41,13
TWITTER,TWITTER,"('379408088', '1604280403')",379408088,1604280403,Prep,0.0,0.0,6.0,0.0,10.0,162,59
TWITTER,TWITTER,"('379408088', '2225825663')",379408088,2225825663,Prep,0.0,0.0,1.0,0.0,2.0,30,11
TWITTER,TWITTER,"('382402366', '2541854413')",382402366,2541854413,Prep,0.0,0.0,1.0,0.0,2.0,19,18
TWITTER,TWITTER,"('382402366', '2566565666')",382402366,2566565666,Prep,0.0,0.0,2.0,0.0,5.0,66,28
TWITTER,TWITTER,"('382402366', '467781586')",382402366,467781586,Prep,0.0,0.0,3.0,0.0,6.0,97,39
TWITTER,TWITTER,"('389238190', '1536302137')",389238190,1536302137,Prep,0.0,0.0,1.0,0.0,3.0,57,36
TWITTER,TWITTER,"('389238190', '2398245474')",389238190,2398245474,Prep,0.0,0.0,1.0,0.0,1.0,34,3
TWITTER,TWITTER,"('389238190', '858126522')",389238190,858126522,Prep,0.0,1.0,1.0,1.0,1.0,30,11
TWITTER,TWITTER,"('395706462', '110288084')",395706462,110288084,Prep,0.0,0.0,1.0,0.0,3.0,68,54
TWITTER,TWITTER,"('403171568', '2726065606')",403171568,2726065606,Prep,0.0,1.0,1.0,1.0,1.0,9,10
TWITTER,TWITTER,"('405728790', '156460168')",405728790,156460168,Prep,0.0,0.0,1.0,0.0,1.0,9,9
TWITTER,TWITTER,"('405728790', '1729841617')",405728790,1729841617,Prep,0.0,0.0,1.0,0.0,10.0,98,27
TWITTER,TWITTER,"('405728790', '2398245474')",405728790,2398245474,Prep,0.0,0.0,4.0,0.0,21.0,300,98
TWITTER,TWITTER,"('405728790', '2726065606')",405728790,2726065606,Prep,0.0,1.0,1.0,1.0,1.0,9,17
TWITTER,TWITTER,"('405728790', '403199730')",405728790,403199730,Prep,0.0,0.0,2.0,0.0,2.0,18,15
TWITTER,TWITTER,"('405728790', '484961764')",405728790,484961764,Prep,0.0,0.0,1.0,0.0,3.0,46,19
TWITTER,TWITTER,"('405728790', '494502107')",405728790,494502107,Prep,0.0,0.0,1.0,0.0,1.0,24,7
TWITTER,TWITTER,"('405728790', '68966191')",405728790,68966191,Prep,0.0,0.0,3.0,0.0,10.0,102,96
TWITTER,TWITTER,"('1396698397', '2684899689')",1396698397,2684899689,Prep,-0.03225806451612903,0.0,3.0,1.0,31.0,291,193
TWITTER,TWITTER,"('403171568', '110288084')",403171568,110288084,Prep,-0.0357142857142857,1.0,4.0,2.0,7.0,85,82
TWITTER,TWITTER,"('330705266', '1328060750')",330705266,1328060750,Prep,-0.07692307692307693,0.0,2.0,1.0,13.0,99,77
TWITTER,TWITTER,"('1396698397', '1328060750')",1396698397,1328060750,Prep,-0.08333333333333333,0.0,1.0,1.0,12.0,113,83
TWITTER,TWITTER,"('163645988', '139539038')",163645988,139539038,Prep,-0.1111111111111111,0.0,2.0,1.0,9.0,148,84
TWITTER,TWITTER,"('379408088', '1328060750')",379408088,1328060750,Prep,-0.14285714285714285,0.0,1.0,1.0,7.0,85,32
TWITTER,TWITTER,"('1906234147', '2825905798')",1906234147,2825905798,Prep,-0.2,0.0,1.0,1.0,5.0,60,30
TWITTER,TWITTER,"('405728790', '1604280403')",405728790,1604280403,Prep,-0.2,0.0,1.0,1.0,5.0,48,61
TWITTER,TWITTER,"('55592183', '363961928')",55592183,363961928,Prep,-0.2,0.0,1.0,1.0,5.0,59,60
TWITTER,TWITTER,"('139539038', '163645988')",139539038,163645988,Prep,-0.25,0.0,1.0,3.0,12.0,151,132
TWITTER,TWITTER,"('363961928', '55592183')",363961928,55592183,Prep,-0.3333333333333333,0.0,1.0,1.0,3.0,50,32
TWITTER,TWITTER,"('405728790', '2671372639')",405728790,2671372639,Prep,-0.3333333333333333,0.0,1.0,1.0,3.0,48,67
TWITTER,TWITTER,"('278328390', '2825905798')",278328390,2825905798,Prep,-0.5,0.0,1.0,1.0,2.0,13,17
TWITTER,TWITTER,"('363961928', '326492577')",363961928,326492577,Prep,-0.5,0.0,1.0,1.0,2.0,45,27
TWITTER,TWITTER,"('379408088', '68966191')",379408088,68966191,Prep,-0.5,0.0,1.0,1.0,2.0,29,29
