Word,Frequency
a,24370
the,10828
oh,7802
you,7617
no,7113
and,5721
it,5512
in,4371
to,4314
not,4297
big,4199
my,3891
that,3874
on,3496
this,3362
is,3298
want,2821
just,2621
do,2548
one,2520
what,2484
like,2435
all,2324
have,2204
your,2156
can,2038
got,2016
two,1917
need,1909
see,1864
put,1733
more,1691
some,1665
get,1660
go,1588
yes,1577
there,1548
of,1447
an,1403
are,1395
look,1346
then,1338
here,1289
be,1192
down,1113
for,1096
blue,1060
up,1049
fire,1027
come,997
we,987
er,972
he,945
know,928
where,924
me,901
say,893
but,820
at,815
am,811
erm,776
train,750
red,742
will,732
think,704
now,704
was,691
thank,682
eat,647
with,643
man,633
when,611
back,584
dear,576
they,569
his,568
has,554
them,547
sit,542
open,534
out,528
play,517
green,514
hold,497
round,492
if,491
done,472
watch,450
over,448
stop,430
yeah,426
too,424
gone,416
fall,398
could,390
nice,387
bit,373
make,370
post,365
these,362
she,359
those,351
so,341
did,337
off,326
white,319
ah,307
take,307
three,295
said,290
let,287
show,286
run,283
shall,262
lot,261
under,257
might,251
would,248
went,247
her,245
or,234
good,231
night,224
love,219
how,217
gonna,215
water,214
four,213
well,208
give,207
from,205
car,202
help,200
found,199
saw,192
again,191
right,180
drop,178
been,177
money,176
away,175
had,171
drink,169
i,168
other,167
new,163
heard,162
ooh,157
better,157
as,151
tell,149
still,148
hear,146
much,145
who,143
next,142
shop,141
about,140
find,138
long,137
turn,136
mind,135
tea,134
time,134
way,132
drive,130
pull,129
through,128
near,126
cut,125
build,125
pick,124
him,123
nine,122
call,121
buy,121
into,120
box,119
light,117
black,115
read,115
door,115
real,114
men,114
six,114
were,110
stay,110
thought,107
poor,106
which,104
lost,102
old,101
must,100
food,100
after,98
wait,97
ha,96
five,94
our,94
high,94
dark,94
move,94
boy,93
day,92
mean,92
keep,91
stand,90
fish,90
seen,88
draw,88
pay,87
never,86
touch,85
bring,85
fit,84
made,83
okay,83
mine,82
head,81
hope,80
seven,80
number,79
cup,79
should,78
letter,78
thing,77
even,76
full,75
lie,75
top,74
last,74
reach,72
feel,69
talk,68
push,65
paper,65
tree,61
by,60
break,59
work,58
wrong,58
dog,58
may,58
wish,57
bought,56
walk,55
finish,55
home,55
behind,54
left,52
hand,52
came,52
cross,51
eight,51
collect,51
around,51
hair,50
past,49
use,49
quick,49
told,48
ten,47
floor,46
brought,44
wonder,44
space,43
front,42
special,42
sat,42
window,41
alright,40
close,40
us,39
start,39
track,38
father,38
cold,38
matter,37
than,36
hard,35
street,35
wave,35
sign,34
their,34
book,34
ball,34
air,33
bed,33
same,33
park,33
hit,33
small,32
first,32
far,31
happen,31
tomorrow,30
road,30
feet,29
pass,29
