Word,Frequency
the,4068
a,3476
on,2006
in,1650
and,1464
my,1452
that,1419
this,1214
you,1213
to,1024
put,868
want,845
is,793
her,716
it,686
he,665
gonna,653
have,594
with,581
go,573
for,563
no,499
at,458
get,428
me,415
some,407
what,389
oh,370
take,365
your,359
they,343
look,342
she,341
right,337
we,329
of,327
are,322
not,317
big,312
make,306
see,306
those,304
one,302
like,298
more,287
all,282
eat,278
now,276
up,274
him,258
will,251
where,236
play,232
his,222
other,216
here,209
these,209
do,199
let,195
them,191
open,167
sit,167
could,158
down,155
there,151
fall,150
was,149
come,144
would,123
be,120
give,117
read,115
then,113
hold,112
did,110
so,109
back,107
need,101
their,100
off,98
but,95
two,94
who,93
from,93
just,92
dog,89
out,89
when,86
close,82
has,81
stand,80
yes,79
lie,76
man,74
got,72
red,72
okay,70
yeah,68
drink,68
over,68
gave,67
by,65
top,63
blue,61
girl,60
find,59
boy,57
too,57
know,57
our,54
how,54
three,53
were,51
made,51
can,51
black,50
stay,49
bring,48
turn,47
draw,43
under,42
nice,42
mother,41
water,39
car,39
fit,38
food,38
bed,36
hair,36
train,36
green,34
next,34
good,34
cut,33
around,32
show,32
say,31
pick,31
white,31
way,31
cup,31
dress,31
think,30
part,28
had,27
touch,27
better,25
away,24
tea,24
walk,24
keep,23
head,22
cover,22
buy,22
build,22
poor,22
hand,21
time,21
went,21
watch,21
kind,20
ha,20
both,20
thing,20
saw,19
new,19
long,19
book,19
break,19
pull,19
talk,18
road,18
name,18
tell,17
bad,17
push,17
mine,16
feet,16
fish,16
again,16
place,16
behind,16
king,16
room,15
door,15
doctor,15
paper,15
if,14
came,14
high,14
use,14
or,13
near,13
front,13
finish,13
said,13
about,13
am,13
home,13
school,13
eight,12
far,12
bit,12
well,12
round,12
after,12
face,12
live,12
day,12
us,12
tree,12
still,11
ball,11
share,11
four,11
real,11
end,11
run,10
hard,10
hear,10
children,10
help,10
light,10
an,10
letter,10
care,10
side,10
brought,10
which,9
park,9
into,9
first,9
five,9
box,9
tomorrow,9
while,9
present,8
visit,8
save,8
work,8
step,8
wonder,8
pay,8
move,8
wait,7
great,7
father,7
feel,7
fire,7
start,7
floor,7
old,7
drive,6
mean,6
dark,6
love,6
eye,6
order,6
six,6
cold,6
stop,6
arm,6
same,6
dear,6
leg,6
shall,6
listen,5
whole,5
sent,5
write,5
last,5
should,5
hit,5
lot,5
glass,5
cross,5
found,5
space,5
through,4
short,4
much,4
seven,4
gone,4
bought,4
until,4
along,4
drop,4
reach,4
told,4
own,4
set,4
rest,3
call,3
meet,3
such,3
himself,3
sure,3
few,3
may,3
