Word,Frequency
a,8694
you,6454
the,5897
it,4000
that,4000
my,3688
what,3618
this,3060
to,2812
in,2729
is,2704
want,2123
put,2041
and,2039
on,2025
have,1888
like,1814
me,1798
he,1770
no,1752
go,1750
see,1693
can,1653
get,1596
do,1592
one,1572
some,1529
where,1491
make,1216
oh,1173
two,1155
we,1109
for,1088
got,1059
how,993
with,947
gonna,941
look,911
they,891
not,878
all,876
are,823
right,823
now,777
of,765
take,761
your,736
up,733
know,718
play,698
here,688
be,682
big,655
an,643
she,583
come,552
who,548
will,546
there,543
write,536
did,520
down,516
more,481
so,466
at,444
was,440
just,436
yeah,430
let,430
these,418
turn,383
over,381
eat,377
them,371
out,366
his,354
think,347
need,346
those,343
other,340
three,321
too,320
when,317
open,306
sit,290
back,284
but,284
then,279
read,267
cut,258
her,253
watch,253
say,251
if,251
yes,250
him,243
give,241
keep,232
could,227
man,222
four,216
from,212
show,212
find,210
has,209
new,207
had,205
went,202
made,195
said,188
way,186
hit,185
better,184
fall,184
off,184
good,182
drop,181
use,177
okay,177
hold,173
kind,171
push,158
draw,153
or,151
water,145
break,144
saw,144
tell,143
drink,140
red,140
car,138
stand,134
about,134
mine,129
time,128
paper,127
call,127
boy,127
buy,125
wait,124
by,123
bring,123
may,118
well,118
stay,116
eight,115
pull,114
hear,114
long,111
name,111
five,109
i,109
came,108
pick,107
took,106
drive,106
help,104
stop,103
train,102
bad,101
move,99
dog,99
which,99
almost,97
mean,96
green,94
round,93
light,92
ball,92
nine,92
six,91
love,90
part,90
top,89
after,87
head,85
nice,85
am,85
never,85
black,84
fire,84
told,83
found,83
seven,83
blue,82
thing,81
old,81
through,80
around,79
same,78
under,77
run,77
fish,76
hand,75
wonder,72
close,71
away,70
should,68
still,67
own,67
hair,66
fit,66
real,66
walk,66
lost,65
would,65
were,64
heard,64
don,63
ten,62
happen,61
touch,61
our,60
next,60
poor,60
street,58
gave,54
talk,53
bit,53
home,51
book,49
school,49
number,49
eye,48
whole,48
alright,48
hard,47
wrong,46
door,46
enough,45
much,44
first,44
tree,44
step,43
miss,43
girl,43
thought,42
strong,41
finish,41
might,41
game,40
box,40
live,39
into,38
last,38
day,37
ever,37
white,37
park,36
line,36
their,36
start,36
work,36
feet,36
children,35
gone,34
than,34
both,33
cup,33
bought,32
as,32
record,32
mm,32
wish,32
ha,31
save,31
men,31
seen,30
listen,30
must,30
reach,30
again,29
side,29
been,29
build,28
small,28
far,28
night,28
behind,27
full,26
bed,26
set,25
doctor,25
shall,25
care,25
lot,25
cross,25
money,25
brought,24
while,23
face,23
cold,23
fight,23
food,23
each,22
arm,22
high,21
kill,21
hope,21
