Word,Frequency
the,4068
a,3476
on,2006
in,1650
and,1464
my,1452
that,1419
this,1214
you,1213
to,1024
put,868
want,845
is,793
her,716
it,686
he,665
gonna,653
little,635
have,594
with,581
go,573
for,563
no,499
at,458
get,428
me,415
some,407
what,389
oh,370
take,365
your,359
wanna,345
they,343
look,342
she,341
right,337
we,329
of,327
are,322
not,317
big,312
see,306
make,306
those,304
one,302
like,298
more,287
all,282
eat,278
now,276
up,274
going,261
him,258
will,251
another,247
where,236
play,232
his,222
other,216
cause,209
here,209
these,209
do,199
let,195
them,191
baby,169
open,167
sit,167
could,158
down,155
there,151
was,149
come,144
would,123
be,120
give,117
read,115
then,113
hold,112
did,110
so,109
back,107
need,101
their,100
people,98
off,98
but,95
two,94
does,93
who,93
from,93
just,92
out,89
when,86
why,82
close,82
has,81
stand,80
yes,79
man,74
got,72
red,72
okay,70
yeah,68
drink,68
over,68
gave,67
by,65
lady,65
many,65
top,63
blue,61
girl,60
find,59
wants,58
know,57
too,57
boy,57
how,54
our,54
three,53
daddy,52
were,51
can,51
made,51
black,50
stay,49
any,48
bring,48
turn,47
something,44
very,43
under,42
nice,42
playing,41
mother,41
goes,40
car,39
water,39
food,38
things,37
hair,36
bed,36
next,34
green,34
good,34
cut,33
picture,33
around,32
show,32
white,31
cup,31
way,31
say,31
think,30
house,29
doing,29
part,28
getting,28
taking,28
fell,28
happy,28
story,27
had,27
sitting,26
making,25
better,25
walk,24
tea,24
away,24
living,23
keep,23
buy,22
head,22
running,22
talking,22
poor,22
try,22
eyes,21
happened,21
watch,21
went,21
looking,21
time,21
hand,21
ha,20
thing,20
both,20
kind,20
book,19
saw,19
break,19
new,19
long,19
road,18
please,18
talk,18
name,18
tell,17
bad,17
king,16
ones,16
place,16
mine,16
behind,16
played,16
fish,16
trees,16
again,16
feet,16
coming,16
door,15
paper,15
needs,15
room,15
came,14
outside,14
leave,14
table,14
use,14
if,14
high,14
said,13
near,13
about,13
or,13
called,13
front,13
school,13
am,13
home,13
day,12
giving,12
after,12
us,12
stuff,12
far,12
eight,12
only,12
live,12
face,12
trying,12
round,12
says,12
well,12
bit,12
still,11
finished,11
four,11
real,11
ball,11
end,11
care,10
an,10
run,10
brought,10
children,10
help,10
letter,10
hear,10
hard,10
side,10
light,10
tomorrow,9
park,9
which,9
into,9
first,9
five,9
box,9
while,9
really,9
together,8
else,8
inside,8
maybe,8
present,8
pay,8
move,8
work,8
somebody,8
feel,7
father,7
wait,7
morning,7
saying,7
fire,7
start,7
comes,7
floor,7
party,7
great,7
remember,7
old,7
order,6
wanted,6
love,6
dark,6
stop,6
