Corpus,DocId,SpeakerA,SpeakerB,FLT A -> B,FLT B -> A,Sparsity A->B,Sparsity B->A
Providence,ale01.xml,OPE,MOT,1.6,1.453125,11,52
Providence,ale01.xml,OPE,CHI,1.7,1.0,8,1
Providence,ale01.xml,MOT,OPE,1.5,1.5,13,5
Providence,ale01.xml,MOT,CHI,1.4285714285714286,1.0,8,1
Providence,ale01.xml,ENV,CHI,1.4285714285714286,2.0,7,1
Providence,ale01.xml,ENV,MOT,1.0,1.875,1,6
Providence,ale01.xml,CHI,MOT,1.0396825396825398,1.5114058355437665,259,1575
Providence,ale01.xml,TOY,CHI,1.5555555555555556,1.0,23,1
Providence,ale01.xml,TOY,MOT,1.3557692307692308,1.5753968253968254,119,229
Providence,ale02.xml,MOT,OPE,1.3333333333333333,1.6,20,11
Providence,ale02.xml,MOT,CHI,1.5859546452084858,1.0366666666666666,1250,297
Providence,ale02.xml,MOT,TOY,1.588235294117647,2.0,23,2
Providence,ale02.xml,AD1,CHI,1.8,1.0,17,16
Providence,ale02.xml,MOT,AD1,1.6,1.75,8,8
Providence,ale02.xml,OPE,CHI,1.2222222222222223,1.0,13,3
Providence,ale02.xml,AD1,MOT,1.0,1.5,2,3
Providence,ale02.xml,CHI,AD1,1.0,1.5,3,2
Providence,ale02.xml,MOT,AD2,1.5,1.5333333333333334,21,17
Providence,ale02.xml,OPE,MOT,1.6111111111111112,1.6363636363636365,16,9
Providence,ale02.xml,AD2,MOT,1.5932835820895523,1.5,259,68
Providence,ale02.xml,AD2,OPE,1.4722222222222223,1.4615384615384615,29,4
Providence,ale02.xml,AD2,CHI,1.4666666666666666,1.0,16,3
Providence,ale02.xml,OPE,AD2,1.0,1.2857142857142858,2,8
Providence,ale02.xml,CHI,MOT,1.0140845070422535,1.5905096660808435,75,524
Providence,ale03.xml,CHI,MOT,1.0351966873706004,1.5026799387442573,484,2245
Providence,ale03.xml,CHI,FAT,1.0,1.6,14,6
Providence,ale04.xml,MOT,CHI,1.5622119815668203,1.0254237288135593,580,117
Providence,ale04.xml,MOT,TOY,1.6206896551724137,1.5,21,3
Providence,ale04.xml,CHI,MOT,1.012,1.5106723585912487,501,1615
Providence,ale04.xml,TOY,MOT,1.5,1.4642857142857142,3,277
Providence,ale04.xml,GRA,MOT,1.6785714285714286,1.5357142857142858,30,27
Providence,ale04.xml,GRA,CHI,1.5714285714285714,1.0,19,3
Providence,ale04.xml,CHI,GRA,1.0,1.6265060240963856,7,60
Providence,ale06.xml,CHI,MOT,1.0317460317460319,1.5474297827239003,571,1812
Providence,ale06.xml,CHI,GRA,1.0,1.3421052631578947,17,35
Providence,ale06.xml,MOT,CHI,1.5269320843091334,1.0483870967741935,442,65
Providence,ale06.xml,MOT,GRA,1.4545454545454546,1.5,41,20
Providence,ale06.xml,GRA,MOT,1.4722222222222223,1.5757575757575757,28,145
Providence,ale06.xml,GRA,CHI,1.5,1.0,1,2
Providence,ale06.xml,FAT,MOT,1.625,2.0,4,3
Providence,ale06.xml,FAT,CHI,UD,1.0,1,3
Providence,ale06.xml,TOY,MOT,1.1081081081081081,1.5675675675675675,50,21
Providence,ale07.xml,MOT,CHI,1.521797153024911,1.2366863905325445,2357,509
Providence,ale07.xml,MOT,OPE,1.71875,2.0,30,3
Providence,ale07.xml,FAT,MOT,1.5217391304347827,1.5164835164835164,24,77
Providence,ale07.xml,CHI,MOT,1.0422535211267605,1.4782608695652173,77,168
Providence,ale07.xml,CHI,FAT,1.16,1.5862068965517242,33,29
Providence,ale07.xml,FAT,CHI,1.5714285714285714,1.0,21,11
Providence,ale07.xml,MOT,FAT,1.605263157894737,1.4166666666666667,47,28
Providence,ale07.xml,GRA,MOT,1.5128205128205128,1.5348837209302326,47,52
Providence,ale07.xml,GRA,CHI,1.7142857142857142,1.0,12,7
Providence,ale07.xml,CHI,GRA,1.5,1.5,6,7
Providence,ale07.xml,MOT,GRA,1.4871794871794872,1.4193548387096775,30,18
Providence,ale07.xml,GRA,FAT,2.0,1.625,5,5
Providence,ale07.xml,FAT,GRA,1.6666666666666667,1.8,4,7
Providence,ale08.xml,MOT,CHI,1.457593688362919,1.1517241379310346,433,145
Providence,ale08.xml,FAT,CHI,1.5,1.5,4,7
Providence,ale08.xml,MOT,FAT,1.0,1.0,1,1
Providence,ale08.xml,CHI,MOT,1.1898454746136866,1.4939377965208223,479,1746
Providence,ale08.xml,FAT,MOT,1.5,1.4736842105263157,13,25
Providence,ale08.xml,CHI,FAT,2.0,1.1111111111111112,8,8
Providence,ale09.xml,OPE,CHI,2.0,1.0,6,2
Providence,ale09.xml,OPE,MOT,1.75,1.7272727272727273,9,14
Providence,ale09.xml,CHI,OPE,1.0,1.5,1,4
Providence,ale09.xml,MOT,OPE,UD,1.0,1,2
Providence,ale09.xml,MOT,CHI,1.5338345864661653,1.1789297658862876,1855,573
Providence,ale09.xml,MOT,FAT,1.3333333333333333,1.5555555555555556,16,7
Providence,ale09.xml,FAT,MOT,1.4166666666666667,1.3979591836734695,8,109
Providence,ale09.xml,CHI,MOT,1.1372549019607843,1.4792899408284024,178,306
Providence,ale09.xml,CHI,FAT,1.2,1.6,9,9
Providence,ale09.xml,FAT,CHI,1.5,1.0,23,9
Providence,ale09.xml,TOY,MOT,1.1590909090909092,1.3333333333333333,41,9
Providence,ale09.xml,TOY,CHI,1.2222222222222223,1.0,6,5
Providence,ale09.xml,MOT,TOY,1.1,1.0,7,2
Providence,ale10.xml,CHI,MOT,1.2913385826771653,1.4979166666666666,334,1241
Providence,ale10.xml,OPE,CHI,1.3333333333333333,1.0,6,5
Providence,ale10.xml,MOT,CHI,1.4845288326300985,1.1887550200803212,1392,475
Providence,ale10.xml,MOT,ENV,1.5,1.5208333333333333,20,26
Providence,ale10.xml,CHI,ENV,1.0,1.4680851063829787,4,73
Providence,ale10.xml,TO1,MOT,1.25,1.5,9,44
Providence,ale10.xml,CHI,TO1,1.4,1.25,4,3
Providence,ale10.xml,MOT,TO2,1.3968253968253967,1.1801801801801801,53,89
Providence,ale10.xml,TO2,MOT,1.0,1.0,2,4
Providence,ale10.xml,TO2,CHI,1.0,1.25,7,7
Providence,ale10.xml,CHI,TO2,1.0,1.1379310344827587,2,27
Providence,ale10.xml,MOT,TO1,1.3846153846153846,1.25,11,6
Providence,ale11.xml,MOT,CHI,1.5278097429996165,1.2609673790776152,2257,833
Providence,ale11.xml,UNC,MOT,1.3225806451612903,1.423728813559322,26,75
Providence,ale11.xml,OPE,MOT,1.25,1.368421052631579,8,16
Providence,ale11.xml,CHI,MOT,1.1857142857142857,1.5449735449735449,196,521
Providence,ale11.xml,UNC,CHI,1.4,1.1666666666666667,24,18
Providence,ale11.xml,MOT,UNC,1.5084745762711864,1.3333333333333333,51,33
Providence,ale11.xml,UNC,OPE,1.5,1.75,6,10
Providence,ale11.xml,ENV,CHI,1.5,1.6666666666666667,40,4
Providence,ale11.xml,UNI,CHI,1.0,1.0,1,2
Providence,ale11.xml,GRA,MOT,1.5932203389830508,1.5472972972972974,78,170
Providence,ale11.xml,CHI,GRA,1.0869565217391304,1.434782608695652,23,18
Providence,ale11.xml,MOT,GRA,1.5714285714285714,1.55,46,36
Providence,ale11.xml,UNC,GRA,1.3478260869565217,1.5333333333333334,17,18
Providence,ale11.xml,GRA,CHI,1.411764705882353,1.3548387096774193,43,30
Providence,ale11.xml,GRA,UNC,1.75,1.5333333333333334,13,24
Providence,ale11.xml,CHI,UNC,1.1724137931034482,1.3333333333333333,26,25
Providence,ale11.xml,OPE,CHI,2.0,1.0,1,1
Providence,ale11.xml,MOT,OPE,1.5,1.4444444444444444,19,11
Providence,ale11.xml,MOT,TO1,1.75,1.25,3,3
Providence,ale11.xml,TO1,CHI,1.25,UD,3,1
Providence,ale11.xml,TO2,CHI,1.52,1.2222222222222223,25,8
Providence,ale11.xml,MOT,TO2,1.0,1.5714285714285714,1,10
Providence,ale11.xml,TO2,MOT,1.3333333333333333,1.375,6,13
Providence,ale11.xml,TO3,CHI,1.1923076923076923,1.125,56,16
Providence,ale11.xml,TO3,GRA,1.3571428571428572,1.0,9,1
Providence,ale11.xml,TO1,MOT,1.25,1.3157894736842106,3,22
Providence,ale11.xml,CHI,TO1,1.0,1.25,1,3
Providence,ale12.xml,CHI,MOT,1.3020134228187918,1.5363036303630364,407,1621
Providence,ale12.xml,OPE,MOT,1.0,1.6666666666666667,1,10
Providence,ale12.xml,GRA,MOT,1.4285714285714286,1.413953488372093,91,218
Providence,ale12.xml,CHI,GRA,1.2413793103448276,1.423529411764706,34,78
Providence,ale12.xml,MOT,GRA,1.5263157894736843,1.4221105527638191,209,175
Providence,ale12.xml,ADU,GRA,1.0,2.0,4,1
Providence,ale12.xml,MOT,CHI,1.5305126118795769,1.2805970149253731,1125,373
Providence,ale12.xml,GRA,CHI,1.5636363636363637,1.3333333333333333,52,45
Providence,ale12.xml,UNI,MOT,1.0,1.3157894736842106,1,15
Providence,ale12.xml,GRA,UNI,1.411764705882353,1.0,15,1
Providence,ale12.xml,UNI,GRA,1.4782608695652173,1.619047619047619,22,18
Providence,ale12.xml,UNI,CHI,1.44,1.0,44,4
Providence,ale12.xml,FAT,MOT,1.3235294117647058,1.5833333333333333,37,51
Providence,ale12.xml,CHI,FAT,1.1923076923076923,1.5294117647058822,18,24
Providence,ale12.xml,TOY,CHI,1.1428571428571428,1.0,3,1
Providence,ale12.xml,MOT,FAT,1.5,1.434782608695652,64,53
Providence,ale12.xml,FAT,CHI,1.391304347826087,1.1818181818181819,16,12
Providence,ale12.xml,GRA,FAT,1.7333333333333334,1.5,9,2
Providence,ale13.xml,MOT,OPE,1.4788732394366197,1.46875,71,49
Providence,ale13.xml,CHI,MOT,1.22475106685633,1.525706940874036,782,1637
Providence,ale13.xml,CHI,OPE,1.0,1.3333333333333333,2,4
Providence,ale13.xml,CHI,TO1,1.0,1.5555555555555556,2,21
Providence,ale13.xml,MOT,CHI,1.5514993481095176,1.2222222222222223,1198,493
Providence,ale13.xml,TO1,CHI,1.3870967741935485,1.5555555555555556,37,26
Providence,ale13.xml,MOT,TO2,2.0,1.5,1,5
Providence,ale13.xml,MOT,TO1,1.5625,1.394736842105263,9,40
Providence,ale13.xml,TO1,MOT,1.4411764705882353,1.5211267605633803,24,64
Providence,ale13.xml,FAT,CHI,1.4761904761904763,1.0,23,11
Providence,ale13.xml,MOT,FAT,1.4375,1.5254237288135593,90,53
Providence,ale13.xml,FAT,MOT,1.4827586206896552,1.5434782608695652,29,137
Providence,ale13.xml,CHI,FAT,1.1587301587301588,1.5333333333333334,58,53
Providence,ale14.xml,TOY,MOT,1.3428571428571427,1.3773584905660377,35,41
Providence,ale14.xml,CHI,MOT,1.3226256983240223,1.5618469834850017,696,2814
Providence,ale14.xml,TOY,CHI,1.5,1.3076923076923077,31,10
Providence,ale14.xml,MOT,CHI,1.5234375,1.2916666666666667,201,47
Providence,ale14.xml,MOT,TOY,1.4705882352941178,1.0,18,6
Providence,ale14.xml,OPE,MOT,2.0,1.5405405405405406,2,31
Providence,ale14.xml,CHI,TOY,1.0,1.2857142857142858,4,9
Providence,ale14.xml,ENV,MOT,1.3636363636363635,1.25,8,7
Providence,ale14.xml,CHI,GRA,1.2142857142857142,1.5,18,75
Providence,ale14.xml,GRA,CHI,1.4318181818181819,1.3,61,12
Providence,ale14.xml,GRA,MOT,1.453125,1.4507042253521127,57,72
Providence,ale14.xml,MOT,GRA,1.6,1.6440677966101696,63,60
Providence,ale15.xml,MOT,CHI,1.5574771108850458,1.458100558659218,1023,187
Providence,ale15.xml,GRA,CHI,1.4438775510204083,1.5801526717557253,391,146
Providence,ale15.xml,GRA,MOT,1.3644859813084111,1.5043227665706052,209,335
Providence,ale15.xml,CHI,GRA,1.5633802816901408,1.408450704225352,89,147
Providence,ale15.xml,CHI,MOT,1.5034965034965035,1.553875236294896,165,540
Providence,ale15.xml,GRA,ADU,1.5128205128205128,1.5294117647058822,36,23
Providence,ale15.xml,MOT,GRA,1.4622030237580994,1.4142394822006472,419,310
Providence,ale15.xml,ADU,GRA,1.1428571428571428,1.2857142857142858,7,10
Providence,ale15.xml,ADU,CHI,1.4137931034482758,1.2,20,12
Providence,ale15.xml,ADU,MOT,1.0,1.4,2,4
Providence,ale15.xml,MOT,ADU,1.4736842105263157,1.3333333333333333,47,15
Providence,ale15.xml,CHI,ADU,1.1666666666666667,1.5,4,25
Providence,ale15.xml,MOT,ENV,1.6666666666666667,1.4666666666666666,11,25
Providence,ale15.xml,CHI,ENV,1.3333333333333333,1.4285714285714286,6,15
Providence,ale15.xml,ENV,MOT,1.35,1.6875,36,11
Providence,ale15.xml,ENV,CHI,1.4210526315789473,1.0,16,1
Providence,ale16.xml,MOT,GRA,1.5845771144278606,1.3642857142857143,406,160
Providence,ale16.xml,MOT,CHI,1.6,1.325358851674641,1129,200
Providence,ale16.xml,GRA,CHI,1.4830508474576272,1.2413793103448276,261,88
Providence,ale16.xml,GRA,ADU,1.425531914893617,1.2727272727272727,37,8
Providence,ale16.xml,MOT,ADU,1.4583333333333333,1.4864864864864864,46,36
Providence,ale16.xml,GRA,MOT,1.4172932330827068,1.5287671232876712,229,367
Providence,ale16.xml,CHI,GRA,1.36,1.4848484848484849,29,71
Providence,ale16.xml,CHI,MOT,1.1902834008097165,1.6009216589861752,216,1072
Providence,ale16.xml,ADU,GRA,1.4509803921568627,1.5333333333333334,53,57
Providence,ale16.xml,ADU,CHI,1.4285714285714286,1.0,8,4
Providence,ale16.xml,ADU,MOT,1.3548387096774193,1.4186046511627908,36,73
Providence,ale16.xml,CHI,ADU,1.0,1.4,5,8
Providence,ale16.xml,TOY,GRA,1.0,1.1428571428571428,6,9
Providence,ale16.xml,TOY,MOT,1.0,1.6281407035175879,27,173
Providence,ale16.xml,MOT,TOY,1.5714285714285714,1.0,88,13
Providence,ale16.xml,TOY,CHI,1.0,1.4444444444444444,8,16
Providence,ale16.xml,CHI,TOY,1.4444444444444444,1.0,7,7
Providence,ale16.xml,GRA,TOY,1.0,1.0,2,2
Providence,ale17.xml,MOT,CHI,1.5634696755994357,1.3706563706563706,1327,277
Providence,ale17.xml,OPE,MOT,1.375,1.4736842105263157,11,38
Providence,ale17.xml,CHI,MOT,1.0505836575875487,1.484053862508859,286,1591
Providence,ale17.xml,OPE,CHI,1.3333333333333333,1.0,3,2
Providence,ale17.xml,MOT,OPE,1.5,1.3333333333333333,1,4
Providence,ale17.xml,CHI,OPE,1.0,1.6666666666666667,9,12
Providence,ale17.xml,MOT,GRA,1.5266666666666666,1.5151515151515151,152,142
Providence,ale17.xml,MOT,FAT,1.6571428571428573,1.5789473684210527,32,23
Providence,ale17.xml,CHI,GRA,1.0,1.6875,10,22
Providence,ale17.xml,GRA,MOT,1.5921052631578947,1.5,69,117
Providence,ale17.xml,FAT,MOT,1.6578947368421053,1.608695652173913,44,44
Providence,ale17.xml,GRA,CHI,1.3548387096774193,1.0,36,5
Providence,ale17.xml,FAT,CHI,UD,1.0,1,1
Providence,ale17.xml,CHI,FAT,1.0,1.6,1,6
Providence,ale17.xml,FAT,GRA,1.6388888888888888,1.4583333333333333,37,56
Providence,ale17.xml,GRA,FAT,2.0,1.588235294117647,4,13
Providence,ale18.xml,CHI,OPE,UD,1.5,6,3
Providence,ale18.xml,MOT,CHI,1.4807453416149068,1.151376146788991,1511,256
Providence,ale18.xml,MOT,OPE,1.28,1.3333333333333333,23,3
Providence,ale18.xml,MOT,GRA,1.5616438356164384,1.6,84,74
Providence,ale18.xml,OPE,MOT,1.4444444444444444,1.5454545454545454,17,24
Providence,ale18.xml,CHI,MOT,1.2433862433862435,1.5586049170954832,393,1590
Providence,ale18.xml,OPE,CHI,2.0,1.0,2,2
Providence,ale18.xml,CHI,GRA,1.3,1.6,23,56
Providence,ale18.xml,GRA,CHI,1.690909090909091,1.0689655172413792,51,43
Providence,ale18.xml,GRA,MOT,1.5333333333333334,1.5267175572519085,60,117
Providence,ale19.xml,MOT,CHI,1.5245901639344261,1.3568281938325992,1304,176
Providence,ale19.xml,MOT,GRA,1.5152542372881357,1.5027624309392265,315,181
Providence,ale19.xml,GRA,MOT,1.5549132947976878,1.523076923076923,152,289
Providence,ale19.xml,GRA,CHI,1.5833333333333333,1.309090909090909,166,48
Providence,ale19.xml,CHI,MOT,1.361256544502618,1.55260663507109,194,914
Providence,ale19.xml,CHI,GRA,1.35,1.5862068965517242,15,19
Providence,ale19.xml,CHI,FAT,UD,UD,2,1
Providence,ale19.xml,FAT,GRA,1.4285714285714286,1.375,9,7
Providence,ale19.xml,FAT,MOT,1.8,1.5,4,6
Providence,ale19.xml,GRA,OPE,1.4,1.25,10,6
Providence,ale20.xml,MOT,CHI,1.5799870466321244,1.3288135593220338,3184,532
Providence,ale20.xml,MOT,OPE,1.5660377358490567,2.0,48,2
Providence,ale21.xml,MOT,CHI,1.608695652173913,1.037037037037037,20,17
Providence,ale21.xml,MOT,OPE,1.5,1.0,9,3
Providence,ale21.xml,OPE,MOT,2.0,1.6666666666666667,2,3
Providence,ale21.xml,CHI,MOT,1.3314669652855544,1.582430806257521,830,2425
Providence,ale22.xml,MOT,CHI,1.5012484394506866,1.3130081300813008,2907,1104
Providence,ale23.xml,MOT,GRA,1.7391304347826086,1.6,17,5
Providence,ale23.xml,MOT,CHI,1.5905194150277358,1.3200612557427258,1832,469
Providence,ale23.xml,FAT,CHI,1.6666666666666667,1.6521739130434783,8,12
Providence,ale23.xml,FAT,MOT,1.7777777777777777,1.6666666666666667,9,5
Providence,ale23.xml,OPE,MOT,1.6666666666666667,1.75,6,9
Providence,ale23.xml,CHI,MOT,1.2,1.5219473264166001,425,1134
Providence,ale24.xml,MOT,OPE,1.1818181818181819,1.3333333333333333,9,2
Providence,ale24.xml,CHI,MOT,1.4798915499322187,1.5304771856495993,1925,2811
Providence,ale24.xml,OPE,MOT,1.6,1.6666666666666667,2,4
Providence,ale24.xml,ADU,MOT,1.6666666666666667,1.25,4,7
Providence,ale25.xml,MOT,CHI,1.5266272189349113,1.3627118644067797,3332,1180
Providence,ale25.xml,MOT,OPE,1.6923076923076923,1.0,17,5
Providence,ale26.xml,CHI,MOT,1.3656330749354004,1.5170132325141776,688,1108
Providence,ale26.xml,OPE,MOT,1.6,1.3846153846153846,10,53
Providence,ale26.xml,CHI,OPE,2.0,UD,5,1
Providence,ale26.xml,MOT,OPE,1.0,1.0,1,1
