BA,BNotA,NotBA,NotBNotA,alignment,baseDenom,baseNum,category,conv,corpus,docId,numUtterances,powerDenom,powerNum,replierId,sparsityA,sparsityB,speakerId
0.0,0.0,1.0,2.0,0.0,3,0.0,we,"('AD2', 'CHI')",Providence,ale02.xml,3,1.0,0.0,CHI,19,6,AD2
0.0,0.0,1.0,2.0,0.0,3,0.0,think,"('AD2', 'CHI')",Providence,ale02.xml,3,1.0,0.0,CHI,19,6,AD2
0.0,0.0,1.0,2.0,0.0,3,0.0,of,"('AD2', 'CHI')",Providence,ale02.xml,3,1.0,0.0,CHI,19,6,AD2
0.0,0.0,1.0,2.0,0.0,3,0.0,what,"('AD2', 'CHI')",Providence,ale02.xml,3,1.0,0.0,CHI,19,6,AD2
0.0,0.0,1.0,2.0,0.0,3,0.0,this,"('AD2', 'CHI')",Providence,ale02.xml,3,1.0,0.0,CHI,19,6,AD2
0.0,0.0,1.0,2.0,0.0,3,0.0,go,"('AD2', 'CHI')",Providence,ale02.xml,3,1.0,0.0,CHI,19,6,AD2
0.0,0.0,2.0,15.0,0.0,17,0.0,we,"('AD2', 'MOT')",Providence,ale02.xml,17,2.0,0.0,MOT,306,85,AD2
0.0,0.0,3.0,14.0,0.0,17,0.0,a,"('AD2', 'MOT')",Providence,ale02.xml,17,3.0,0.0,MOT,306,85,AD2
0.0,0.0,2.0,15.0,0.0,17,0.0,all,"('AD2', 'MOT')",Providence,ale02.xml,17,2.0,0.0,MOT,306,85,AD2
0.0,0.0,1.0,16.0,0.0,17,0.0,for,"('AD2', 'MOT')",Providence,ale02.xml,17,1.0,0.0,MOT,306,85,AD2
0.0,0.0,2.0,15.0,0.0,17,0.0,up,"('AD2', 'MOT')",Providence,ale02.xml,17,2.0,0.0,MOT,306,85,AD2
0.0,0.0,1.0,16.0,0.0,17,0.0,wanna,"('AD2', 'MOT')",Providence,ale02.xml,17,1.0,0.0,MOT,306,85,AD2
0.0,0.0,1.0,16.0,0.0,17,0.0,no,"('AD2', 'MOT')",Providence,ale02.xml,17,1.0,0.0,MOT,306,85,AD2
0.0,0.0,2.0,15.0,0.0,17,0.0,of,"('AD2', 'MOT')",Providence,ale02.xml,17,2.0,0.0,MOT,306,85,AD2
0.0,0.0,1.0,16.0,0.0,17,0.0,what,"('AD2', 'MOT')",Providence,ale02.xml,17,1.0,0.0,MOT,306,85,AD2
0.0,0.0,1.0,16.0,0.0,17,0.0,but,"('AD2', 'MOT')",Providence,ale02.xml,17,1.0,0.0,MOT,306,85,AD2
0.0,0.0,2.0,15.0,0.0,17,0.0,like,"('AD2', 'MOT')",Providence,ale02.xml,17,2.0,0.0,MOT,306,85,AD2
0.0,0.0,1.0,16.0,0.0,17,0.0,little,"('AD2', 'MOT')",Providence,ale02.xml,17,1.0,0.0,MOT,306,85,AD2
0.0,0.0,5.0,12.0,0.0,17,0.0,that,"('AD2', 'MOT')",Providence,ale02.xml,17,5.0,0.0,MOT,306,85,AD2
0.0,0.0,5.0,12.0,0.0,17,0.0,look,"('AD2', 'MOT')",Providence,ale02.xml,17,5.0,0.0,MOT,306,85,AD2
0.0,0.0,3.0,14.0,0.0,17,0.0,this,"('AD2', 'MOT')",Providence,ale02.xml,17,3.0,0.0,MOT,306,85,AD2
0.0,0.0,1.0,16.0,0.0,17,0.0,some,"('AD2', 'MOT')",Providence,ale02.xml,17,1.0,0.0,MOT,306,85,AD2
0.0,0.0,1.0,16.0,0.0,17,0.0,big,"('AD2', 'MOT')",Providence,ale02.xml,17,1.0,0.0,MOT,306,85,AD2
0.0,0.0,1.0,16.0,0.0,17,0.0,at,"('AD2', 'MOT')",Providence,ale02.xml,17,1.0,0.0,MOT,306,85,AD2
0.0,0.0,3.0,14.0,0.0,17,0.0,see,"('AD2', 'MOT')",Providence,ale02.xml,17,3.0,0.0,MOT,306,85,AD2
0.0,0.0,1.0,3.0,0.0,4,0.0,the,"('AD2', 'OPE')",Providence,ale02.xml,4,1.0,0.0,OPE,33,8,AD2
0.0,0.0,1.0,3.0,0.0,4,0.0,oh,"('AD2', 'OPE')",Providence,ale02.xml,4,1.0,0.0,OPE,33,8,AD2
0.0,0.0,1.0,3.0,0.0,4,0.0,my,"('AD2', 'OPE')",Providence,ale02.xml,4,1.0,0.0,OPE,33,8,AD2
0.0,0.0,2.0,2.0,0.0,4,0.0,you,"('AD2', 'OPE')",Providence,ale02.xml,4,2.0,0.0,OPE,33,8,AD2
0.0,0.0,1.0,3.0,0.0,4,0.0,that,"('AD2', 'OPE')",Providence,ale02.xml,4,1.0,0.0,OPE,33,8,AD2
0.0,0.0,1.0,3.0,0.0,4,0.0,do,"('AD2', 'OPE')",Providence,ale02.xml,4,1.0,0.0,OPE,33,8,AD2
0.0,0.0,1.0,1.0,0.0,2,0.0,a,"('MOT', 'AD1')",Providence,ale02.xml,2,1.0,0.0,AD1,12,10,MOT
2.0,0.0,0.0,0.0,0.0,2,2.0,you,"('MOT', 'AD1')",Providence,ale02.xml,2,2.0,2.0,AD1,12,10,MOT
0.0,0.0,1.0,1.0,0.0,2,0.0,yeah,"('MOT', 'AD1')",Providence,ale02.xml,2,1.0,0.0,AD1,12,10,MOT
0.0,0.0,1.0,1.0,0.0,2,0.0,oh,"('MOT', 'AD2')",Providence,ale02.xml,2,1.0,0.0,AD2,30,21,MOT
0.0,0.0,1.0,1.0,0.0,2,0.0,is,"('MOT', 'AD2')",Providence,ale02.xml,2,1.0,0.0,AD2,30,21,MOT
1.0,1.0,0.0,0.0,0.0,2,2.0,what,"('MOT', 'AD2')",Providence,ale02.xml,2,1.0,1.0,AD2,30,21,MOT
0.0,0.0,1.0,1.0,0.0,2,0.0,that,"('MOT', 'AD2')",Providence,ale02.xml,2,1.0,0.0,AD2,30,21,MOT
0.0,0.0,1.0,1.0,0.0,2,0.0,it,"('MOT', 'AD2')",Providence,ale02.xml,2,1.0,0.0,AD2,30,21,MOT
0.0,0.0,1.0,1.0,0.0,2,0.0,can,"('MOT', 'AD2')",Providence,ale02.xml,2,1.0,0.0,AD2,30,21,MOT
0.0,0.0,1.0,1.0,0.0,2,0.0,see,"('MOT', 'AD2')",Providence,ale02.xml,2,1.0,0.0,AD2,30,21,MOT
0.0,0.0,22.0,74.0,0.0,96,0.0,the,"('MOT', 'CHI')",Providence,ale02.xml,96,22.0,0.0,CHI,1637,433,MOT
0.0,0.0,4.0,92.0,0.0,96,0.0,we,"('MOT', 'CHI')",Providence,ale02.xml,96,4.0,0.0,CHI,1637,433,MOT
0.0,0.0,3.0,93.0,0.0,96,0.0,put,"('MOT', 'CHI')",Providence,ale02.xml,96,3.0,0.0,CHI,1637,433,MOT
0.0,0.0,12.0,84.0,0.0,96,0.0,a,"('MOT', 'CHI')",Providence,ale02.xml,96,12.0,0.0,CHI,1637,433,MOT
0.0,0.0,12.0,84.0,0.0,96,0.0,get,"('MOT', 'CHI')",Providence,ale02.xml,96,12.0,0.0,CHI,1637,433,MOT
0.0,0.0,3.0,93.0,0.0,96,0.0,all,"('MOT', 'CHI')",Providence,ale02.xml,96,3.0,0.0,CHI,1637,433,MOT
0.0,0.0,1.0,95.0,0.0,96,0.0,think,"('MOT', 'CHI')",Providence,ale02.xml,96,1.0,0.0,CHI,1637,433,MOT
0.0,0.0,9.0,87.0,0.0,96,0.0,there,"('MOT', 'CHI')",Providence,ale02.xml,96,9.0,0.0,CHI,1637,433,MOT
0.0,0.0,3.0,93.0,0.0,96,0.0,for,"('MOT', 'CHI')",Providence,ale02.xml,96,3.0,0.0,CHI,1637,433,MOT
0.0,0.0,6.0,90.0,0.0,96,0.0,up,"('MOT', 'CHI')",Providence,ale02.xml,96,6.0,0.0,CHI,1637,433,MOT
0.0,0.0,3.0,93.0,0.0,96,0.0,wanna,"('MOT', 'CHI')",Providence,ale02.xml,96,3.0,0.0,CHI,1637,433,MOT
0.0,0.0,7.0,89.0,0.0,96,0.0,no,"('MOT', 'CHI')",Providence,ale02.xml,96,7.0,0.0,CHI,1637,433,MOT
0.0,0.0,11.0,85.0,0.0,96,0.0,oh,"('MOT', 'CHI')",Providence,ale02.xml,96,11.0,0.0,CHI,1637,433,MOT
0.0,0.0,1.0,95.0,0.0,96,0.0,of,"('MOT', 'CHI')",Providence,ale02.xml,96,1.0,0.0,CHI,1637,433,MOT
0.0,0.0,9.0,87.0,0.0,96,0.0,is,"('MOT', 'CHI')",Providence,ale02.xml,96,9.0,0.0,CHI,1637,433,MOT
0.0,0.0,4.0,92.0,0.0,96,0.0,he,"('MOT', 'CHI')",Providence,ale02.xml,96,4.0,0.0,CHI,1637,433,MOT
0.0,0.0,7.0,89.0,0.0,96,0.0,to,"('MOT', 'CHI')",Providence,ale02.xml,96,7.0,0.0,CHI,1637,433,MOT
0.0,0.0,7.0,89.0,0.0,96,0.0,what,"('MOT', 'CHI')",Providence,ale02.xml,96,7.0,0.0,CHI,1637,433,MOT
0.0,0.0,5.0,91.0,0.0,96,0.0,where,"('MOT', 'CHI')",Providence,ale02.xml,96,5.0,0.0,CHI,1637,433,MOT
0.0,0.0,2.0,94.0,0.0,96,0.0,gonna,"('MOT', 'CHI')",Providence,ale02.xml,96,2.0,0.0,CHI,1637,433,MOT
0.0,0.0,3.0,93.0,0.0,96,0.0,but,"('MOT', 'CHI')",Providence,ale02.xml,96,3.0,0.0,CHI,1637,433,MOT
0.0,0.0,4.0,92.0,0.0,96,0.0,like,"('MOT', 'CHI')",Providence,ale02.xml,96,4.0,0.0,CHI,1637,433,MOT
0.0,0.0,36.0,60.0,0.0,96,0.0,you,"('MOT', 'CHI')",Providence,ale02.xml,96,36.0,0.0,CHI,1637,433,MOT
0.0,0.0,3.0,93.0,0.0,96,0.0,did,"('MOT', 'CHI')",Providence,ale02.xml,96,3.0,0.0,CHI,1637,433,MOT
0.0,0.0,4.0,92.0,0.0,96,0.0,on,"('MOT', 'CHI')",Providence,ale02.xml,96,4.0,0.0,CHI,1637,433,MOT
0.0,0.0,1.0,95.0,0.0,96,0.0,little,"('MOT', 'CHI')",Providence,ale02.xml,96,1.0,0.0,CHI,1637,433,MOT
0.0,0.0,8.0,88.0,0.0,96,0.0,are,"('MOT', 'CHI')",Providence,ale02.xml,96,8.0,0.0,CHI,1637,433,MOT
0.0,0.0,21.0,75.0,0.0,96,0.0,that,"('MOT', 'CHI')",Providence,ale02.xml,96,21.0,0.0,CHI,1637,433,MOT
0.0,0.0,3.0,93.0,0.0,96,0.0,not,"('MOT', 'CHI')",Providence,ale02.xml,96,3.0,0.0,CHI,1637,433,MOT
0.0,0.0,5.0,91.0,0.0,96,0.0,want,"('MOT', 'CHI')",Providence,ale02.xml,96,5.0,0.0,CHI,1637,433,MOT
0.0,0.0,14.0,82.0,0.0,96,0.0,look,"('MOT', 'CHI')",Providence,ale02.xml,96,14.0,0.0,CHI,1637,433,MOT
0.0,0.0,2.0,94.0,0.0,96,0.0,with,"('MOT', 'CHI')",Providence,ale02.xml,96,2.0,0.0,CHI,1637,433,MOT
0.0,0.0,24.0,72.0,0.0,96,0.0,this,"('MOT', 'CHI')",Providence,ale02.xml,96,24.0,0.0,CHI,1637,433,MOT
0.0,0.0,2.0,94.0,0.0,96,0.0,some,"('MOT', 'CHI')",Providence,ale02.xml,96,2.0,0.0,CHI,1637,433,MOT
0.0,0.0,16.0,80.0,0.0,96,0.0,it,"('MOT', 'CHI')",Providence,ale02.xml,96,16.0,0.0,CHI,1637,433,MOT
0.0,0.0,10.0,86.0,0.0,96,0.0,one,"('MOT', 'CHI')",Providence,ale02.xml,96,10.0,0.0,CHI,1637,433,MOT
0.0,0.0,5.0,91.0,0.0,96,0.0,do,"('MOT', 'CHI')",Providence,ale02.xml,96,5.0,0.0,CHI,1637,433,MOT
0.0,0.0,2.0,94.0,0.0,96,0.0,they,"('MOT', 'CHI')",Providence,ale02.xml,96,2.0,0.0,CHI,1637,433,MOT
0.0,0.0,4.0,92.0,0.0,96,0.0,yeah,"('MOT', 'CHI')",Providence,ale02.xml,96,4.0,0.0,CHI,1637,433,MOT
0.0,0.0,5.0,91.0,0.0,96,0.0,big,"('MOT', 'CHI')",Providence,ale02.xml,96,5.0,0.0,CHI,1637,433,MOT
0.0,0.0,18.0,78.0,0.0,96,0.0,go,"('MOT', 'CHI')",Providence,ale02.xml,96,18.0,0.0,CHI,1637,433,MOT
0.0,0.0,5.0,91.0,0.0,96,0.0,in,"('MOT', 'CHI')",Providence,ale02.xml,96,5.0,0.0,CHI,1637,433,MOT
0.0,0.0,12.0,84.0,0.0,96,0.0,can,"('MOT', 'CHI')",Providence,ale02.xml,96,12.0,0.0,CHI,1637,433,MOT
0.0,0.0,3.0,93.0,0.0,96,0.0,at,"('MOT', 'CHI')",Providence,ale02.xml,96,3.0,0.0,CHI,1637,433,MOT
0.0,0.0,3.0,93.0,0.0,96,0.0,have,"('MOT', 'CHI')",Providence,ale02.xml,96,3.0,0.0,CHI,1637,433,MOT
0.0,0.0,7.0,89.0,0.0,96,0.0,see,"('MOT', 'CHI')",Providence,ale02.xml,96,7.0,0.0,CHI,1637,433,MOT
0.0,0.0,6.0,90.0,0.0,96,0.0,and,"('MOT', 'CHI')",Providence,ale02.xml,96,6.0,0.0,CHI,1637,433,MOT
0.0,0.0,1.0,1.0,0.0,2,0.0,is,"('MOT', 'OPE')",Providence,ale02.xml,2,1.0,0.0,OPE,26,14,MOT
0.0,0.0,1.0,1.0,0.0,2,0.0,you,"('MOT', 'OPE')",Providence,ale02.xml,2,1.0,0.0,OPE,26,14,MOT
0.0,0.0,1.0,1.0,0.0,2,0.0,this,"('MOT', 'OPE')",Providence,ale02.xml,2,1.0,0.0,OPE,26,14,MOT
0.0,0.0,1.0,1.0,0.0,2,0.0,see,"('MOT', 'OPE')",Providence,ale02.xml,2,1.0,0.0,OPE,26,14,MOT
0.0,0.0,1.0,0.0,0.0,1,0.0,wanna,"('MOT', 'TOY')",Providence,ale02.xml,1,1.0,0.0,TOY,30,3,MOT
0.0,0.0,1.0,0.0,0.0,1,0.0,to,"('MOT', 'TOY')",Providence,ale02.xml,1,1.0,0.0,TOY,30,3,MOT
0.0,0.0,1.0,0.0,0.0,1,0.0,like,"('MOT', 'TOY')",Providence,ale02.xml,1,1.0,0.0,TOY,30,3,MOT
0.0,0.0,1.0,0.0,0.0,1,0.0,you,"('MOT', 'TOY')",Providence,ale02.xml,1,1.0,0.0,TOY,30,3,MOT
0.0,0.0,1.0,0.0,0.0,1,0.0,on,"('MOT', 'TOY')",Providence,ale02.xml,1,1.0,0.0,TOY,30,3,MOT
0.0,0.0,1.0,0.0,0.0,1,0.0,want,"('MOT', 'TOY')",Providence,ale02.xml,1,1.0,0.0,TOY,30,3,MOT
0.0,0.0,1.0,0.0,0.0,1,0.0,one,"('MOT', 'TOY')",Providence,ale02.xml,1,1.0,0.0,TOY,30,3,MOT
0.0,0.0,1.0,0.0,0.0,1,0.0,go,"('MOT', 'TOY')",Providence,ale02.xml,1,1.0,0.0,TOY,30,3,MOT
0.0,0.0,1.0,1.0,0.0,2,0.0,all,"('OPE', 'CHI')",Providence,ale02.xml,2,1.0,0.0,CHI,16,5,OPE
0.0,0.0,1.0,1.0,0.0,2,0.0,oh,"('OPE', 'CHI')",Providence,ale02.xml,2,1.0,0.0,CHI,16,5,OPE
0.0,0.0,1.0,1.0,0.0,2,0.0,are,"('OPE', 'CHI')",Providence,ale02.xml,2,1.0,0.0,CHI,16,5,OPE
0.0,0.0,1.0,1.0,0.0,2,0.0,big,"('OPE', 'CHI')",Providence,ale02.xml,2,1.0,0.0,CHI,16,5,OPE
0.0,0.0,1.0,3.0,0.0,4,0.0,the,"('OPE', 'MOT')",Providence,ale02.xml,4,1.0,0.0,MOT,20,13,OPE
0.0,0.0,1.0,3.0,0.0,4,0.0,for,"('OPE', 'MOT')",Providence,ale02.xml,4,1.0,0.0,MOT,20,13,OPE
0.0,0.0,1.0,3.0,0.0,4,0.0,gonna,"('OPE', 'MOT')",Providence,ale02.xml,4,1.0,0.0,MOT,20,13,OPE
0.0,0.0,2.0,2.0,0.0,4,0.0,you,"('OPE', 'MOT')",Providence,ale02.xml,4,2.0,0.0,MOT,20,13,OPE
0.0,0.0,1.0,3.0,0.0,4,0.0,on,"('OPE', 'MOT')",Providence,ale02.xml,4,1.0,0.0,MOT,20,13,OPE
0.0,1.0,1.0,15.0,-0.058823529411764705,17,1.0,put,"('AD2', 'MOT')",Providence,ale02.xml,17,1.0,0.0,MOT,306,85,AD2
0.0,1.0,6.0,10.0,-0.058823529411764705,17,1.0,there,"('AD2', 'MOT')",Providence,ale02.xml,17,6.0,0.0,MOT,306,85,AD2
0.0,1.0,1.0,15.0,-0.058823529411764705,17,1.0,oh,"('AD2', 'MOT')",Providence,ale02.xml,17,1.0,0.0,MOT,306,85,AD2
0.0,1.0,6.0,10.0,-0.058823529411764705,17,1.0,you,"('AD2', 'MOT')",Providence,ale02.xml,17,6.0,0.0,MOT,306,85,AD2
0.0,1.0,3.0,13.0,-0.058823529411764705,17,1.0,on,"('AD2', 'MOT')",Providence,ale02.xml,17,3.0,0.0,MOT,306,85,AD2
0.0,1.0,3.0,13.0,-0.058823529411764705,17,1.0,it,"('AD2', 'MOT')",Providence,ale02.xml,17,3.0,0.0,MOT,306,85,AD2
0.0,1.0,2.0,14.0,-0.058823529411764705,17,1.0,and,"('AD2', 'MOT')",Providence,ale02.xml,17,2.0,0.0,MOT,306,85,AD2
1.0,3.0,6.0,7.0,-0.09243697478991597,17,4.0,go,"('AD2', 'MOT')",Providence,ale02.xml,17,7.0,1.0,MOT,306,85,AD2
0.0,2.0,5.0,10.0,-0.11764705882352941,17,2.0,get,"('AD2', 'MOT')",Providence,ale02.xml,17,5.0,0.0,MOT,306,85,AD2
0.0,10.0,1.0,23.0,-0.29411764705882354,34,10.0,one,"('CHI', 'MOT')",Providence,ale02.xml,34,1.0,0.0,MOT,121,701,CHI
0.0,1.0,1.0,0.0,-0.5,2,1.0,on,"('MOT', 'AD2')",Providence,ale02.xml,2,1.0,0.0,AD2,30,21,MOT
1.0,31.0,0.0,125.0,0.7961783439490446,157,32.0,a,"('CHI', 'MOT')",Providence,ale03.xml,157,1.0,1.0,MOT,727,2906,CHI
0.0,14.0,1.0,142.0,-0.08917197452229299,157,14.0,no,"('CHI', 'MOT')",Providence,ale03.xml,157,1.0,0.0,MOT,727,2906,CHI
0.0,17.0,1.0,139.0,-0.10828025477707007,157,17.0,one,"('CHI', 'MOT')",Providence,ale03.xml,157,1.0,0.0,MOT,727,2906,CHI
1.0,26.0,0.0,97.0,0.782258064516129,124,27.0,a,"('CHI', 'MOT')",Providence,ale04.xml,124,1.0,1.0,MOT,691,2017,CHI
0.0,0.0,1.0,0.0,0.0,1,0.0,a,"('GRA', 'CHI')",Providence,ale04.xml,1,1.0,0.0,CHI,20,4,GRA
0.0,0.0,1.0,0.0,0.0,1,0.0,there,"('GRA', 'CHI')",Providence,ale04.xml,1,1.0,0.0,CHI,20,4,GRA
0.0,0.0,1.0,0.0,0.0,1,0.0,for,"('GRA', 'CHI')",Providence,ale04.xml,1,1.0,0.0,CHI,20,4,GRA
0.0,0.0,1.0,0.0,0.0,1,0.0,he,"('GRA', 'CHI')",Providence,ale04.xml,1,1.0,0.0,CHI,20,4,GRA
0.0,0.0,1.0,0.0,0.0,1,0.0,to,"('GRA', 'CHI')",Providence,ale04.xml,1,1.0,0.0,CHI,20,4,GRA
0.0,0.0,1.0,0.0,0.0,1,0.0,little,"('GRA', 'CHI')",Providence,ale04.xml,1,1.0,0.0,CHI,20,4,GRA
0.0,0.0,1.0,0.0,0.0,1,0.0,that,"('GRA', 'CHI')",Providence,ale04.xml,1,1.0,0.0,CHI,20,4,GRA
0.0,0.0,1.0,0.0,0.0,1,0.0,yeah,"('GRA', 'CHI')",Providence,ale04.xml,1,1.0,0.0,CHI,20,4,GRA
0.0,0.0,1.0,0.0,0.0,1,0.0,go,"('GRA', 'CHI')",Providence,ale04.xml,1,1.0,0.0,CHI,20,4,GRA
0.0,0.0,1.0,0.0,0.0,1,0.0,in,"('GRA', 'CHI')",Providence,ale04.xml,1,1.0,0.0,CHI,20,4,GRA
0.0,0.0,1.0,7.0,0.0,8,0.0,for,"('GRA', 'MOT')",Providence,ale04.xml,8,1.0,0.0,MOT,42,37,GRA
0.0,0.0,2.0,6.0,0.0,8,0.0,oh,"('GRA', 'MOT')",Providence,ale04.xml,8,2.0,0.0,MOT,42,37,GRA
0.0,0.0,3.0,5.0,0.0,8,0.0,is,"('GRA', 'MOT')",Providence,ale04.xml,8,3.0,0.0,MOT,42,37,GRA
0.0,0.0,1.0,7.0,0.0,8,0.0,to,"('GRA', 'MOT')",Providence,ale04.xml,8,1.0,0.0,MOT,42,37,GRA
0.0,0.0,1.0,7.0,0.0,8,0.0,you,"('GRA', 'MOT')",Providence,ale04.xml,8,1.0,0.0,MOT,42,37,GRA
0.0,0.0,1.0,7.0,0.0,8,0.0,did,"('GRA', 'MOT')",Providence,ale04.xml,8,1.0,0.0,MOT,42,37,GRA
0.0,0.0,2.0,6.0,0.0,8,0.0,on,"('GRA', 'MOT')",Providence,ale04.xml,8,2.0,0.0,MOT,42,37,GRA
0.0,0.0,4.0,4.0,0.0,8,0.0,that,"('GRA', 'MOT')",Providence,ale04.xml,8,4.0,0.0,MOT,42,37,GRA
