BA,BNotA,NotBA,NotBNotA,alignment,baseDenom,baseNum,category,conv,corpus,docId,numUtterances,powerDenom,powerNum,replierId,sparsityA,sparsityB,speakerId
1.0,0.0,0.0,2.0,0.6666666666666667,3,1.0,do,"('OPE', 'MOT')",Providence,ale01.xml,3,1.0,1.0,MOT,14,64,OPE
0.0,0.0,1.0,0.0,0.0,1,0.0,to,"('ENV', 'CHI')",Providence,ale01.xml,1,1.0,0.0,CHI,8,2,ENV
0.0,0.0,1.0,0.0,0.0,1,0.0,not,"('ENV', 'CHI')",Providence,ale01.xml,1,1.0,0.0,CHI,8,2,ENV
0.0,0.0,1.0,0.0,0.0,1,0.0,he,"('MOT', 'CHI')",Providence,ale01.xml,1,1.0,0.0,CHI,9,2,MOT
0.0,0.0,1.0,0.0,0.0,1,0.0,it,"('MOT', 'CHI')",Providence,ale01.xml,1,1.0,0.0,CHI,9,2,MOT
0.0,0.0,1.0,0.0,0.0,1,0.0,yeah,"('MOT', 'CHI')",Providence,ale01.xml,1,1.0,0.0,CHI,9,2,MOT
0.0,0.0,1.0,0.0,0.0,1,0.0,you,"('MOT', 'OPE')",Providence,ale01.xml,1,1.0,0.0,OPE,15,6,MOT
0.0,0.0,1.0,0.0,0.0,1,0.0,this,"('MOT', 'OPE')",Providence,ale01.xml,1,1.0,0.0,OPE,15,6,MOT
0.0,0.0,1.0,0.0,0.0,1,0.0,do,"('MOT', 'OPE')",Providence,ale01.xml,1,1.0,0.0,OPE,15,6,MOT
0.0,0.0,1.0,0.0,0.0,1,0.0,the,"('OPE', 'CHI')",Providence,ale01.xml,1,1.0,0.0,CHI,9,2,OPE
0.0,0.0,1.0,0.0,0.0,1,0.0,go,"('OPE', 'CHI')",Providence,ale01.xml,1,1.0,0.0,CHI,9,2,OPE
0.0,0.0,1.0,0.0,0.0,1,0.0,in,"('OPE', 'CHI')",Providence,ale01.xml,1,1.0,0.0,CHI,9,2,OPE
0.0,0.0,1.0,0.0,0.0,1,0.0,and,"('OPE', 'CHI')",Providence,ale01.xml,1,1.0,0.0,CHI,9,2,OPE
0.0,0.0,1.0,2.0,0.0,3,0.0,there,"('OPE', 'MOT')",Providence,ale01.xml,3,1.0,0.0,MOT,14,64,OPE
0.0,0.0,1.0,2.0,0.0,3,0.0,to,"('OPE', 'MOT')",Providence,ale01.xml,3,1.0,0.0,MOT,14,64,OPE
0.0,0.0,1.0,2.0,0.0,3,0.0,want,"('OPE', 'MOT')",Providence,ale01.xml,3,1.0,0.0,MOT,14,64,OPE
0.0,0.0,2.0,1.0,0.0,3,0.0,go,"('OPE', 'MOT')",Providence,ale01.xml,3,2.0,0.0,MOT,14,64,OPE
0.0,0.0,1.0,0.0,0.0,1,0.0,the,"('TOY', 'CHI')",Providence,ale01.xml,1,1.0,0.0,CHI,26,2,TOY
0.0,0.0,1.0,0.0,0.0,1,0.0,to,"('TOY', 'CHI')",Providence,ale01.xml,1,1.0,0.0,CHI,26,2,TOY
0.0,0.0,1.0,0.0,0.0,1,0.0,on,"('TOY', 'CHI')",Providence,ale01.xml,1,1.0,0.0,CHI,26,2,TOY
1.0,1.0,5.0,5.0,0.0,12,2.0,to,"('TOY', 'MOT')",Providence,ale01.xml,12,6.0,1.0,MOT,141,282,TOY
0.0,0.0,1.0,11.0,0.0,12,0.0,on,"('TOY', 'MOT')",Providence,ale01.xml,12,1.0,0.0,MOT,141,282,TOY
0.0,0.0,1.0,11.0,0.0,12,0.0,with,"('TOY', 'MOT')",Providence,ale01.xml,12,1.0,0.0,MOT,141,282,TOY
0.0,0.0,1.0,11.0,0.0,12,0.0,yeah,"('TOY', 'MOT')",Providence,ale01.xml,12,1.0,0.0,MOT,141,282,TOY
0.0,0.0,5.0,7.0,0.0,12,0.0,go,"('TOY', 'MOT')",Providence,ale01.xml,12,5.0,0.0,MOT,141,282,TOY
0.0,1.0,4.0,7.0,-0.08333333333333333,12,1.0,for,"('TOY', 'MOT')",Providence,ale01.xml,12,4.0,0.0,MOT,141,282,TOY
1.0,1.0,1.0,0.0,-0.16666666666666663,3,2.0,you,"('OPE', 'MOT')",Providence,ale01.xml,3,2.0,1.0,MOT,14,64,OPE
0.0,2.0,4.0,6.0,-0.16666666666666666,12,2.0,a,"('TOY', 'MOT')",Providence,ale01.xml,12,4.0,0.0,MOT,141,282,TOY
0.0,3.0,1.0,8.0,-0.25,12,3.0,the,"('TOY', 'MOT')",Providence,ale01.xml,12,1.0,0.0,MOT,141,282,TOY
0.0,1.0,1.0,1.0,-0.3333333333333333,3,1.0,where,"('OPE', 'MOT')",Providence,ale01.xml,3,1.0,0.0,MOT,14,64,OPE
1.0,0.0,0.0,3.0,0.75,4,1.0,a,"('OPE', 'MOT')",Providence,ale02.xml,4,1.0,1.0,MOT,20,13,OPE
1.0,0.0,0.0,1.0,0.5,2,1.0,on,"('MOT', 'OPE')",Providence,ale02.xml,2,1.0,1.0,OPE,26,14,MOT
1.0,0.0,1.0,15.0,0.4411764705882353,17,1.0,to,"('AD2', 'MOT')",Providence,ale02.xml,17,2.0,1.0,MOT,306,85,AD2
2.0,0.0,4.0,11.0,0.2156862745098039,17,2.0,the,"('AD2', 'MOT')",Providence,ale02.xml,17,6.0,2.0,MOT,306,85,AD2
1.0,0.0,3.0,13.0,0.19117647058823528,17,1.0,one,"('AD2', 'MOT')",Providence,ale02.xml,17,4.0,1.0,MOT,306,85,AD2
0.0,0.0,1.0,4.0,0.0,5,0.0,a,"('AD1', 'CHI')",Providence,ale02.xml,5,1.0,0.0,CHI,22,22,AD1
0.0,0.0,2.0,3.0,0.0,5,0.0,is,"('AD1', 'CHI')",Providence,ale02.xml,5,2.0,0.0,CHI,22,22,AD1
0.0,0.0,1.0,4.0,0.0,5,0.0,you,"('AD1', 'CHI')",Providence,ale02.xml,5,1.0,0.0,CHI,22,22,AD1
0.0,0.0,2.0,3.0,0.0,5,0.0,that,"('AD1', 'CHI')",Providence,ale02.xml,5,2.0,0.0,CHI,22,22,AD1
0.0,0.0,1.0,4.0,0.0,5,0.0,yeah,"('AD1', 'CHI')",Providence,ale02.xml,5,1.0,0.0,CHI,22,22,AD1
0.0,0.0,2.0,3.0,0.0,5,0.0,big,"('AD1', 'CHI')",Providence,ale02.xml,5,2.0,0.0,CHI,22,22,AD1
0.0,0.0,1.0,2.0,0.0,3,0.0,the,"('AD2', 'CHI')",Providence,ale02.xml,3,1.0,0.0,CHI,19,6,AD2
