alignment,ba,bna,category,corpus,dnmalignment,docId,nba,nbna,replierId,speakerId
-0.2876820724517808,0,0,quant,SCOTUS,0.0,13-461.xml,2,1,SOTO,CLEME
0.2876820724517808,0,0,tentat,SCOTUS,0.0,13-461.xml,1,2,SOTO,CLEME
-0.2876820724517808,0,0,you,SCOTUS,0.0,13-461.xml,2,1,SOTO,CLEME
0.10536051565782631,4,2,article,SCOTUS,0.0,13-461.xml,0,0,FREDE,GINS
0.6931471805599453,3,1,certain,SCOTUS,0.33333333333333337,13-461.xml,0,2,FREDE,GINS
0.9444616088408514,5,0,conj,SCOTUS,0.16666666666666663,13-461.xml,0,1,FREDE,GINS
0.287682072451781,3,2,discrep,SCOTUS,0.16666666666666663,13-461.xml,0,1,FREDE,GINS
0.287682072451781,3,2,excl,SCOTUS,0.16666666666666663,13-461.xml,0,1,FREDE,GINS
0.5108256237659907,4,1,i,SCOTUS,0.16666666666666663,13-461.xml,0,1,FREDE,GINS
0.11778303565638354,2,3,incl,SCOTUS,0.16666666666666663,13-461.xml,0,1,FREDE,GINS
0.5108256237659907,4,1,ipron,SCOTUS,0.16666666666666663,13-461.xml,0,1,FREDE,GINS
0.5108256237659907,4,1,negate,SCOTUS,0.16666666666666663,13-461.xml,0,1,FREDE,GINS
0.2513144282809061,5,1,preps,SCOTUS,0.0,13-461.xml,0,0,FREDE,GINS
0.7621400520468968,4,0,quant,SCOTUS,0.13333333333333341,13-461.xml,1,1,FREDE,GINS
0.5108256237659907,4,1,tentat,SCOTUS,0.16666666666666663,13-461.xml,0,1,FREDE,GINS
-0.4054651081081643,1,2,you,SCOTUS,-0.16666666666666669,13-461.xml,2,1,FREDE,GINS
0.10536051565782628,1,2,discrep,SCOTUS,0.25,13-461.xml,0,1,FREDE,KENN
-0.10536051565782628,2,1,excl,SCOTUS,-0.08333333333333337,13-461.xml,1,0,FREDE,KENN
-0.5108256237659905,1,1,i,SCOTUS,-0.16666666666666669,13-461.xml,2,0,FREDE,KENN
-0.5108256237659905,1,1,incl,SCOTUS,-0.16666666666666669,13-461.xml,2,0,FREDE,KENN
-0.5108256237659905,1,1,ipron,SCOTUS,-0.16666666666666669,13-461.xml,2,0,FREDE,KENN
-0.10536051565782628,2,1,negate,SCOTUS,-0.08333333333333337,13-461.xml,1,0,FREDE,KENN
-0.5108256237659905,1,1,preps,SCOTUS,-0.16666666666666669,13-461.xml,2,0,FREDE,KENN
-0.1823215567939548,0,1,quant,SCOTUS,-0.25,13-461.xml,1,2,FREDE,KENN
0.0,1,1,tentat,SCOTUS,0.0,13-461.xml,1,1,FREDE,KENN
-0.5877866649021191,0,2,you,SCOTUS,-0.5,13-461.xml,1,1,FREDE,KENN
0.0,1,1,i,SCOTUS,0.0,13-461.xml,0,0,CLEME,ROBE
0.0,1,1,preps,SCOTUS,0.0,13-461.xml,0,0,CLEME,ROBE
0.0,1,1,quant,SCOTUS,0.0,13-461.xml,0,0,CLEME,ROBE
