Bottom Level Word,Approx Branch Length,Total Branch Frequency,BLC 1,BLC 1 Frequency,BLC 1 Branch Freq Proportion,BLC 1 Location,BLC 2,BLC 2 Frequency,BLC 2 Branch Freq Proportion,BLC 2 Location,BLC 3,BLC 3 Frequency,BLC 3 Branch Freq Proportion,BLC 3 Location
"('successor', 'peer', 'person')",7,34008,person,28981,0.8521818395671606,0.7142857142857143,successor,1973,0.058015760997412374,1.0,organism,1809,0.053193366266760765,0.42857142857142855
"('mushroom', 'basidiomycete', 'fungus')",6,2659,organism,1809,0.6803309514855209,0.5,mushroom,850,0.31966904851447914,1.0,NA,0,0.0,NA
"('gas', 'state_of_matter', 'chemical_phenomenon')",6,11674,gas,8133,0.6966763748500943,1.0,phenomenon,3541,0.3033236251499058,0.3333333333333333,NA,0,0.0,NA
"('scull', 'racing_boat', 'small_boat')",7,14602,boat,7373,0.5049308313929599,0.5714285714285714,vehicle,7229,0.49506916860704014,0.42857142857142855,NA,0,0.0,NA
"('Trappist', 'monk', 'religious')",9,31936,person,28981,0.9074711923847696,0.5555555555555556,organism,1809,0.056644539078156315,0.3333333333333333,monk,1146,0.035884268537074146,0.8888888888888888
"('capacity', 'tolerance', 'endurance')",4,14500,strength,8228,0.5674482758620689,0.25,capacity,6272,0.432551724137931,0.75,NA,0,0.0,NA
"('delta', 'equilateral_triangle', 'regular_polygon')",7,1057,triangle,1057,1.0,0.42857142857142855,NA,0,0.0,NA,NA,0,0.0,NA
"('nip', 'eating', 'consumption')",8,3228,consumption,3228,1.0,0.5,NA,0,0.0,NA,NA,0,0.0,NA
"('screening', 'examination', 'work')",4,69398,work,62248,0.8969710942678464,0.5,examination,6232,0.08980085881437505,0.75,screening,918,0.01322804691777861,0.25
"('washbasin', 'basin', 'container')",5,2850,container,1536,0.5389473684210526,0.6,basin,1314,0.4610526315789474,0.8,NA,0,0.0,NA
"('mammoth', 'elephant', 'pachyderm')",12,19734,animal,15250,0.7727779466909902,0.3333333333333333,organism,1809,0.09166920036485254,0.25,elephant,1457,0.07383196513631296,0.9166666666666666
"('nationalism', 'ambition', 'desire')",4,21836,feeling,12671,0.5802802711119253,0.25,desire,5843,0.2675856383953105,0.5,ambition,2319,0.1062007693716798,0.75
"('clambake', 'cookout', 'meal')",6,27698,food,21044,0.7597660480901148,0.3333333333333333,meal,6654,0.2402339519098852,0.6666666666666666,NA,0,0.0,NA
"('overexploitation', 'exploitation', 'use')",4,34298,use,32998,0.9620969152720276,0.5,exploitation,1300,0.03790308472797248,0.75,NA,0,0.0,NA
"('durum', 'wheat', 'cereal')",10,8979,grass,4143,0.4614099565653191,0.7,organism,1809,0.20147009689274975,0.3,herb,1119,0.1246241229535583,0.5
"('heart', 'impression', 'idea')",5,52961,idea,32798,0.6192858896168879,0.6,heart,15242,0.2877966805762731,1.0,impression,4921,0.092917429806839,0.8
"('wind', 'talk', 'conversation')",4,24453,talk,9314,0.3808939598413283,0.75,wind,8624,0.352676563202879,1.75,conversation,6515,0.2664294769557927,0.5
"('planner', 'portable_computer', 'personal_computer')",9,36752,computer,16976,0.4619068350021768,0.5555555555555556,machine,13518,0.36781671745755334,0.4444444444444444,device,5079,0.13819656073138878,0.3333333333333333
"('frontispiece', 'facade', 'surface')",5,11177,surface,10361,0.9269929319137514,0.6,facade,816,0.07300706808624854,0.8,NA,0,0.0,NA
"('quiche', 'pie', 'baked_goods')",5,1154,pie,1154,1.0,0.8,NA,0,0.0,NA,NA,0,0.0,NA
"('enemy', 'military_unit', 'organization')",4,14144,organization,9272,0.6555429864253394,0.5,enemy,4872,0.34445701357466063,1.0,NA,0,0.0,NA
"('teakettle', 'kettle', 'pot')",10,5394,pot,2936,0.5443084909158324,0.8,container,1536,0.28476084538375973,0.3,kettle,922,0.17093066370040785,0.9
"('recessional', 'hymn', 'religious_song')",10,21870,music,15024,0.6869684499314129,0.2,song,6846,0.3130315500685871,0.4,NA,0,0.0,NA
"('scale', 'proportion', 'quotient')",5,20259,scale,8802,0.4344735673034207,0.6,proportion,7822,0.38610000493607777,0.8,ratio,3635,0.1794264277605015,0.4
"('subvention', 'subsidy', 'grant')",5,11452,grant,5320,0.46454767726161367,0.6,gift,4283,0.3739958085923856,0.4,subsidy,1849,0.1614565141460007,0.8
"('Medusa', 'Gorgon', 'mythical_monster')",10,4423,imagination,2784,0.6294370336875424,0.4,monster,1639,0.3705629663124576,0.6,NA,0,0.0,NA
"('counselor', 'supervisor', 'superior')",9,47706,person,28981,0.6074917201190626,0.5555555555555556,leader,15903,0.3333542950572255,0.6666666666666666,organism,1809,0.03791975852094076,0.3333333333333333
"('suite', 'apartment', 'housing')",6,28201,structure,18201,0.6454026452962661,0.5,housing,6435,0.22818339775185278,0.6666666666666666,apartment,1901,0.06740895712917981,0.8333333333333334
"('gravy', 'juice', 'food')",4,22690,food,21044,0.9274570295284266,0.5,juice,1646,0.07254297047157338,0.75,NA,0,0.0,NA
"('curbside', 'pavement', 'paved_surface')",7,12180,surface,10361,0.8506568144499179,0.42857142857142855,pavement,1819,0.1493431855500821,0.8571428571428571,NA,0,0.0,NA
"('extension', 'delay', 'pause')",4,8916,extension,4161,0.4666890982503365,1.0,delay,3174,0.35598923283983847,0.75,pause,1581,0.17732166890982504,0.5
"('shakedown', 'adjustment', 'improvement')",7,48664,change,37884,0.7784810126582279,0.42857142857142855,improvement,6616,0.13595265493999673,0.7142857142857143,adjustment,2114,0.04344073647871116,0.8571428571428571
"('world', 'hominid', 'placental')",10,77371,world,59094,0.7637745408486384,0.3,animal,15250,0.19710227346163292,0.4,organism,1809,0.023380853291284847,0.3
"('surgery', 'medical_science', 'life_science')",9,20256,science,12644,0.6242101105845181,0.5555555555555556,discipline,4848,0.23933649289099526,0.4444444444444444,surgery,2764,0.13645339652448657,1.0
"('cuckoldry', 'sexual_conquest', 'attainment')",5,948,attainment,948,1.0,0.6,NA,0,0.0,NA,NA,0,0.0,NA
"('pushover', 'follower', 'person')",7,32029,person,28981,0.9048362421555466,0.7142857142857143,organism,1809,0.05648006494114709,0.42857142857142855,follower,1239,0.03868369290330638,0.8571428571428571
"('fallout', 'dust', 'particulate')",6,25146,material,19057,0.7578541318698799,0.5,substance,3480,0.138391791935099,0.3333333333333333,dust,2609,0.10375407619502108,0.8333333333333334
"('clearing', 'tract', 'geographical_area')",5,7271,location,5499,0.7562921193783524,0.4,clearing,925,0.1272177142071242,1.0,tract,847,0.11649016641452345,0.8
"('irradiation', 'learning', 'basic_cognitive_process')",5,2040,learning,2040,1.0,0.8,NA,0,0.0,NA,NA,0,0.0,NA
"('stock', 'repute', 'standing')",4,19323,stock,9170,0.4745639910986907,0.75,status,8688,0.4496196242819438,0.25,standing,1465,0.07581638461936552,0.5
"('patricide', 'parricide', 'murderer')",12,34684,person,28981,0.8355725983162265,0.4166666666666667,organism,1809,0.052156614000691964,0.25,killer,1754,0.05057086841194787,0.5
"('inroad', 'invasion', 'penetration')",5,12019,attack,9963,0.8289375156002995,0.4,invasion,2056,0.17106248439970048,0.8,NA,0,0.0,NA
"('deepness', 'low_pitch', 'pitch')",4,3003,pitch,3003,1.0,0.5,NA,0,0.0,NA,NA,0,0.0,NA
"('stomach', 'appetite', 'craving')",5,22554,feeling,12671,0.5618072182317992,0.2,desire,5843,0.2590671277822116,0.4,stomach,2985,0.13234902899707368,1.0
"('urn', 'vase', 'jar')",6,2447,container,1536,0.6277073968124234,0.5,jar,911,0.3722926031875766,0.6666666666666666,NA,0,0.0,NA
"('hatchback', 'car_door', 'door')",9,51378,door,30166,0.5871384639339795,0.7777777777777778,structure,18201,0.3542566857409786,0.3333333333333333,barrier,3011,0.05860485032504185,0.5555555555555556
"('periodontist', 'dentist', 'medical_practitioner')",11,41459,person,28981,0.6990279553293616,0.45454545454545453,adult,6855,0.16534407486914784,0.5454545454545454,professional,2969,0.07161291878723558,0.6363636363636364
"('withdrawal', 'retraction', 'disavowal')",6,3123,withdrawal,2245,0.7188600704450848,1.0,denial,878,0.2811399295549151,0.5,NA,0,0.0,NA
"('stepbrother', 'brother', 'male_sibling')",10,45704,person,28981,0.6341020479607912,0.5,brother,11757,0.2572422545072641,0.9,relative,3157,0.06907491685629266,0.6
"('syndrome', 'complex', 'whole')",7,56205,idea,32798,0.5835423894671292,0.42857142857142855,whole,11228,0.19976870385197046,0.7142857142857143,concept,9093,0.1617827595409661,0.5714285714285714
"('bathroom', 'room', 'structure')",5,57353,room,36360,0.6339685805450456,0.8,structure,18201,0.31735044374313465,0.6,bathroom,2792,0.048680975711819785,1.0
"('predestination', 'destiny', 'happening')",4,827,destiny,827,1.0,0.75,NA,0,0.0,NA,NA,0,0.0,NA
"('communion', 'intercourse', 'intercommunication')",5,10455,communication,9590,0.9172644667623147,0.4,intercourse,865,0.08273553323768532,0.8,NA,0,0.0,NA
"('moped', 'minibike', 'motorcycle')",10,8765,vehicle,7229,0.8247575584711923,0.3,container,1536,0.17524244152880775,0.3,NA,0,0.0,NA
"('reluctance', 'electrical_phenomenon', 'physical_phenomenon')",6,4565,phenomenon,3541,0.7756845564074479,0.3333333333333333,reluctance,1024,0.22431544359255204,1.0,NA,0,0.0,NA
"('heiress', 'heir', 'recipient')",9,33144,person,28981,0.8743965725319817,0.5555555555555556,organism,1809,0.054580014482259236,0.3333333333333333,heir,1339,0.040399468983828145,0.8888888888888888
"('emanation', 'beginning', 'happening')",4,8018,beginning,8018,1.0,0.75,NA,0,0.0,NA,NA,0,0.0,NA
"('philatelist', 'collector', 'person')",7,32453,person,28981,0.8930145132961513,0.7142857142857143,organism,1809,0.05574215018642344,0.42857142857142855,collector,1663,0.0512433365174252,0.8571428571428571
"('awayness', 'absence', 'lack')",4,48735,need,33660,0.6906740535549399,0.25,lack,9126,0.18725761772853186,0.5,absence,5949,0.12206832871652816,0.75
"('gig', 'small_boat', 'boat')",6,15491,boat,7373,0.4759537796139694,0.6666666666666666,vehicle,7229,0.46665805951843004,0.5,gig,889,0.05738816086760054,1.0
"('preserve', 'reservation', 'administrative_district')",6,14705,district,7574,0.5150629037742265,0.5,location,5499,0.37395443726623595,0.3333333333333333,reservation,1632,0.11098265895953757,0.8333333333333334
"('stubble', 'beard', 'facial_hair')",8,16000,hair,15020,0.93875,0.625,beard,980,0.06125,0.875,NA,0,0.0,NA
"('remarriage', 'ritual', 'custom')",6,25625,practice,20950,0.817560975609756,0.3333333333333333,custom,3276,0.12784390243902438,0.6666666666666666,ritual,1399,0.05459512195121951,0.8333333333333334
"('subcontractor', 'contractor', 'person')",7,32332,person,28981,0.8963565507855994,0.7142857142857143,organism,1809,0.055950760856117776,0.42857142857142855,contractor,1542,0.04769268835828282,0.8571428571428571
"('found', 'wage', 'regular_payment')",7,43178,cost,26556,0.615035434712122,0.42857142857142855,payment,9811,0.2272221964889527,0.5714285714285714,wage,6811,0.1577423687989254,0.8571428571428571
"('meter', 'metric_linear_unit', 'linear_unit')",6,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA
"('cheeseburger', 'hamburger', 'sandwich')",7,22660,food,21044,0.928684907325684,0.2857142857142857,sandwich,1616,0.07131509267431597,0.7142857142857143,NA,0,0.0,NA
"('odalisque', 'concubine', 'mistress')",11,101839,woman,63087,0.6194778031991673,0.6363636363636364,person,28981,0.28457663567002817,0.45454545454545453,adult,6855,0.0673121299305767,0.5454545454545454
"('Rubicon', 'differentiation', 'basic_cognitive_process')",5,912,differentiation,912,1.0,0.8,NA,0,0.0,NA,NA,0,0.0,NA
