DocId,Speaker,Replier,Hyp Avg S,Hyp Avg R,Sparsity S-R,Sparsity R-S
ale01.xml,OPE,MOT,4.5,6.7894736842105265,11,52
ale01.xml,OPE,CHI,7.75,NA,8,1
ale01.xml,MOT,OPE,6.8,6.666666666666667,13,5
ale01.xml,MOT,CHI,9.5,NA,8,1
ale01.xml,ENV,CHI,5.333333333333333,NA,7,1
ale01.xml,ENV,MOT,NA,6.75,1,6
ale01.xml,CHI,MOT,7.0,7.813432835820896,259,1575
ale01.xml,TOY,CHI,9.0,NA,23,1
ale01.xml,TOY,MOT,8.166666666666666,7.25,119,229
ale02.xml,MOT,OPE,7.2,8.5,20,11
ale02.xml,MOT,CHI,7.324503311258278,6.75,1250,297
ale02.xml,MOT,TOY,8.0,NA,23,2
ale02.xml,AD1,CHI,8.666666666666666,8.0,17,16
ale02.xml,MOT,AD1,6.666666666666667,0.0,8,8
ale02.xml,OPE,CHI,5.0,NA,13,3
ale02.xml,AD1,MOT,9.0,4.5,2,3
ale02.xml,CHI,AD1,8.0,9.0,3,2
ale02.xml,MOT,AD2,6.7,6.714285714285714,21,17
ale02.xml,OPE,MOT,4.666666666666667,7.0,16,9
ale02.xml,AD2,MOT,6.795918367346939,7.111111111111111,259,68
ale02.xml,AD2,OPE,4.571428571428571,NA,29,4
ale02.xml,AD2,CHI,6.166666666666667,NA,16,3
ale02.xml,OPE,AD2,9.0,6.0,2,8
ale02.xml,CHI,MOT,9.5,6.846938775510204,75,524
ale03.xml,CHI,MOT,7.7272727272727275,7.488188976377953,484,2245
ale03.xml,CHI,FAT,8.0,16.0,14,6
ale04.xml,MOT,CHI,7.02970297029703,8.0,580,117
ale04.xml,MOT,TOY,5.666666666666667,7.5,21,3
ale04.xml,CHI,MOT,9.0,7.300925925925926,501,1615
ale04.xml,TOY,MOT,7.5,6.738636363636363,3,277
ale04.xml,GRA,MOT,14.0,8.444444444444445,30,27
ale04.xml,GRA,CHI,7.0,NA,19,3
ale04.xml,CHI,GRA,NA,7.411764705882353,7,60
ale06.xml,CHI,MOT,8.571428571428571,7.189655172413793,571,1812
ale06.xml,CHI,GRA,8.0,7.076923076923077,17,35
ale06.xml,MOT,CHI,7.1375,6.666666666666667,442,65
ale06.xml,MOT,GRA,7.571428571428571,9.666666666666666,41,20
ale06.xml,GRA,MOT,5.714285714285714,7.166666666666667,28,145
ale06.xml,GRA,CHI,NA,NA,1,2
ale06.xml,FAT,MOT,NA,NA,4,3
ale06.xml,FAT,CHI,NA,NA,1,3
ale06.xml,TOY,MOT,6.6,8.0,50,21
ale07.xml,MOT,CHI,7.431718061674009,8.15,2357,509
ale07.xml,MOT,OPE,8.357142857142858,NA,30,3
ale07.xml,FAT,MOT,8.0,7.785714285714286,24,77
ale07.xml,CHI,MOT,5.25,7.486486486486487,77,168
ale07.xml,CHI,FAT,7.0,10.0,33,29
ale07.xml,FAT,CHI,8.5,7.0,21,11
ale07.xml,MOT,FAT,7.222222222222222,7.4,47,28
ale07.xml,GRA,MOT,7.222222222222222,7.1,47,52
ale07.xml,GRA,CHI,7.6,7.0,12,7
ale07.xml,CHI,GRA,7.5,6.0,6,7
ale07.xml,MOT,GRA,6.7,5.6,30,18
ale07.xml,GRA,FAT,8.0,11.0,5,5
ale07.xml,FAT,GRA,17.0,7.333333333333333,4,7
ale08.xml,MOT,CHI,6.804597701149425,9.0,433,145
ale08.xml,FAT,CHI,NA,8.0,4,7
ale08.xml,MOT,FAT,NA,NA,1,1
ale08.xml,CHI,MOT,8.76923076923077,7.919580419580419,479,1746
ale08.xml,FAT,MOT,5.8,7.777777777777778,13,25
ale08.xml,CHI,FAT,8.0,18.0,8,8
ale09.xml,OPE,CHI,NA,NA,6,2
ale09.xml,OPE,MOT,5.25,6.333333333333333,9,14
ale09.xml,CHI,OPE,NA,6.0,1,4
ale09.xml,MOT,OPE,NA,NA,1,2
ale09.xml,MOT,CHI,7.475336322869955,7.6875,1855,573
ale09.xml,MOT,FAT,5.166666666666667,NA,16,7
ale09.xml,FAT,MOT,10.666666666666666,6.363636363636363,8,109
ale09.xml,CHI,MOT,6.0,6.702127659574468,178,306
ale09.xml,CHI,FAT,7.5,6.666666666666667,9,9
ale09.xml,FAT,CHI,8.555555555555555,5.0,23,9
ale09.xml,TOY,MOT,7.75,7.25,41,9
ale09.xml,TOY,CHI,8.0,8.0,6,5
ale09.xml,MOT,TOY,4.0,7.0,7,2
ale10.xml,CHI,MOT,7.75,7.035555555555556,334,1241
ale10.xml,OPE,CHI,7.0,NA,6,5
ale10.xml,MOT,CHI,7.707920792079208,10.0,1392,475
ale10.xml,MOT,ENV,8.0,6.555555555555555,20,26
ale10.xml,CHI,ENV,NA,7.25,4,73
ale10.xml,TO1,MOT,NA,6.357142857142857,9,44
ale10.xml,CHI,TO1,NA,NA,4,3
ale10.xml,MOT,TO2,8.08695652173913,7.533333333333333,53,89
ale10.xml,TO2,MOT,NA,8.0,2,4
