docId,id,language,name,role,sex
13-461.xml,ALIT,eng,SAMUEL_A_ALITO_JR,Justice,male
13-461.xml,BREY,eng,STEPHEN_G_BREYER,Justice,male
13-461.xml,CLEME,eng,PAUL_D_CLEMENT,Attorney,male
13-461.xml,CONN,eng,SANDRA_DAY_O'CONNOR,Justice,female
13-461.xml,FREDE,eng,DAVID_C_FREDERICK,Attorney,male
13-461.xml,GINS,eng,RUTH_BADER_GINSBURG,Justice,female
13-461.xml,KAGA,eng,ELENA_KAGAN,Justice,female
13-461.xml,KENN,eng,ANTHONY_M_KENNEDY,Justice,male
13-461.xml,ROBE,eng,JOHN_G_ROBERTS,Justice,male
13-461.xml,SCAL,eng,ANTONIN_SCALIA,Justice,male
13-461.xml,SOTO,eng,SONIA_M_SOTOMAYOR,Justice,female
13-461.xml,STEV,eng,JOHN_PAUL_STEVENS,Justice,male
13-461.xml,STEWA,eng,MALCOLM_L_STEWART,Attorney,male
13-461.xml,THOM,eng,CLARENCE_THOMAS,Justice,male
13-461.xml,UNKN,eng,Unidentified_Justice,Unidentified,male
12-872.xml,ALIT,eng,SAMUEL_A_ALITO_JR,Justice,male
12-872.xml,BREY,eng,STEPHEN_G_BREYER,Justice,male
12-872.xml,CONN,eng,SANDRA_DAY_O'CONNOR,Justice,female
12-872.xml,GINS,eng,RUTH_BADER_GINSBURG,Justice,female
12-872.xml,KAGA,eng,ELENA_KAGAN,Justice,female
12-872.xml,KENN,eng,ANTHONY_M_KENNEDY,Justice,male
12-872.xml,ROBE,eng,JOHN_G_ROBERTS,Justice,male
12-872.xml,SCAL,eng,ANTONIN_SCALIA,Justice,male
12-872.xml,SCODR,eng,MICHAEL_A_SCODRO,Attorney,male
12-872.xml,SOTO,eng,SONIA_M_SOTOMAYOR,Justice,female
12-872.xml,STEV,eng,JOHN_PAUL_STEVENS,Justice,male
12-872.xml,THEOB,eng,EDWARD_R_THEOBALD_III,Attorney,male
12-872.xml,THOM,eng,CLARENCE_THOMAS,Justice,male
12-872.xml,UNKN,eng,Unidentified_Justice,Unidentified,male
12-7515.xml,ALIT,eng,SAMUEL_A_ALITO_JR,Justice,male
12-7515.xml,BREY,eng,STEPHEN_G_BREYER,Justice,male
12-7515.xml,CAMPB,eng,ANGELA_L_CAMPBELL,Attorney,female
12-7515.xml,CONN,eng,SANDRA_DAY_O'CONNOR,Justice,female
12-7515.xml,GINS,eng,RUTH_BADER_GINSBURG,Justice,female
12-7515.xml,HORWI,eng,BENJAMIN_J_HORWICH,Attorney,male
12-7515.xml,KAGA,eng,ELENA_KAGAN,Justice,female
12-7515.xml,KENN,eng,ANTHONY_M_KENNEDY,Justice,male
12-7515.xml,ROBE,eng,JOHN_G_ROBERTS,Justice,male
12-7515.xml,SCAL,eng,ANTONIN_SCALIA,Justice,male
12-7515.xml,SOTO,eng,SONIA_M_SOTOMAYOR,Justice,female
12-7515.xml,STEV,eng,JOHN_PAUL_STEVENS,Justice,male
12-7515.xml,THOM,eng,CLARENCE_THOMAS,Justice,male
12-7515.xml,UNKN,eng,Unidentified_Justice,Unidentified,male
13-354.xml,ALIT,eng,SAMUEL_A_ALITO_JR,Justice,male
13-354.xml,BREY,eng,STEPHEN_G_BREYER,Justice,male
13-354.xml,CLEME,eng,PAUL_D_CLEMENT,Attorney,male
13-354.xml,CONN,eng,SANDRA_DAY_O'CONNOR,Justice,female
13-354.xml,GINS,eng,RUTH_BADER_GINSBURG,Justice,female
13-354.xml,KAGA,eng,ELENA_KAGAN,Justice,female
13-354.xml,KENN,eng,ANTHONY_M_KENNEDY,Justice,male
13-354.xml,ROBE,eng,JOHN_G_ROBERTS,Justice,male
