DocId,Speaker,Replier,S Word,S BLC,S Path Similarity,S Frequency,R word,R BLC,R Path Similarity,R Frequency,Sparsity S-R,Sparsity R-S
ale01.xml,OPE,MOT,NA,NA,NA,NA,bit,measure,0.07142857142857142,2,11,52
ale01.xml,OPE,MOT,NA,NA,NA,NA,feel,feel,1.0,1,11,52
ale01.xml,OPE,MOT,NA,NA,NA,NA,today,attribute,0.09090909090909091,1,11,52
ale01.xml,OPE,MOT,NA,NA,NA,NA,nicer,NA,NA,1,11,52
ale01.xml,OPE,MOT,NA,NA,NA,NA,um,NA,NA,1,11,52
ale01.xml,OPE,MOT,NA,NA,NA,NA,fresh,NA,NA,1,11,52
ale01.xml,OPE,MOT,NA,NA,NA,NA,oh,NA,NA,1,11,52
ale01.xml,OPE,MOT,NA,NA,NA,NA,look,appearance,-0.3333333333333333,2,11,52
ale01.xml,OPE,MOT,NA,NA,NA,NA,watch,hunter,0.07142857142857142,1,11,52
ale01.xml,OPE,MOT,NA,NA,NA,NA,television,telecommunication,-0.3333333333333333,1,11,52
ale01.xml,OPE,MOT,NA,NA,NA,NA,please,NA,NA,1,11,52
ale01.xml,OPE,CHI,check,kite,0.5,1,NA,NA,NA,NA,8,1
ale01.xml,MOT,OPE,um,NA,NA,1,NA,NA,NA,NA,13,5
ale01.xml,MOT,OPE,fine,fine,1.0,1,NA,NA,NA,NA,13,5
ale01.xml,MOT,OPE,okay,sanction,-0.5,1,NA,NA,NA,NA,13,5
ale01.xml,MOT,OPE,NA,NA,NA,NA,oh,NA,NA,1,13,5
ale01.xml,MOT,CHI,yeah,NA,NA,1,NA,NA,NA,NA,8,1
ale01.xml,ENV,MOT,NA,NA,NA,NA,go,go,1.0,1,1,6
ale01.xml,CHI,MOT,bah,NA,NA,1,NA,NA,NA,NA,259,1575
ale01.xml,CHI,MOT,ooh,NA,NA,1,NA,NA,NA,NA,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,crow,NA,NA,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,rubber,discharge,0.07692307692307693,6,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,hungry,NA,NA,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,dolphin,dolphin,1.0,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,mine,excavation,0.06666666666666667,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,time,event,-0.25,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,bi,substance,-0.25,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,pie,pie,1.0,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,earth,earth,1.0,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,lion,lion,1.0,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,done,NA,NA,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,sandwich,bomber,0.058823529411764705,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,corner,location,-0.25,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,count,circulation,0.08333333333333333,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,mud,mud,1.0,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,yellow,NA,NA,5,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,monster,dragon,0.3333333333333333,4,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,banana,banana,1.0,2,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,slot,slot,1.0,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,button,restraint,0.058823529411764705,2,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,try,fitting,0.1111111111111111,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,end,heel,0.14285714285714285,1,259,1575
ale01.xml,CHI,MOT,NA,NA,NA,NA,okay,sanction,-0.5,2,259,1575
