Word,Frequency
yyy,43414
the,11991
xxx,11965
a,9866
I,9169
and,6756
is,5140
it,4556
you,4314
this,4239
to,4008
no,3994
in,3065
that,2860
what,2707
what's,2695
it's,2447
I'm,2062
on,2027
want,2009
Mommy,2004
my,1982
he,1897
go,1806
one,1763
that's,1627
do,1620
can,1619
like,1571
where,1508
oh,1483
um,1398
wanna,1283
are,1265
gonna,1258
don't,1210
of,1204
we,1164
put,1128
for,1122
look,1083
have,1063
yeah,1049
get,1049
they,979
was,974
with,950
not,928
make,880
did,870
there,868
some,868
up,863
see,861
she,844
where's,833
all,817
there's,813
think,805
at,794
big,787
but,771
he's,756
little,754
be,726
two,718
why,718
his,698
read,692
me,662
Daddy,661
your,653
blue,650
how,644
Naima,630
play,623
now,615
let's,609
going,570
uh,570
here,569
take,566
,559
over,557
more,556
need,539
has,532
does,532
another,528
other,512
baby,493
come,485
her,485
eat,484
got,475
right,472
green,452
Mom,445
bear,444
out,441
so,434
then,432
will,432
down,432
red,429
just,394
too,392
who,382
goes,370
beep,364
hey,357
mommy,356
i,356
three,349
back,343
I'll,340
yellow,337
yes,335
something,335
you're,331
they're,327
maybe,322
Sleepy,315
them,314
she's,310
find,306
about,297
because,297
water,292
open,290
can't,289
say,275
off,273
help,266
who's,265
these,264
those,264
give,263
book,262
when,261
mm,258
pop,251
an,246
doing,246
good,245
hi,245
know,244
purple,241
Mama,240
new,233
doesn't,231
thank,229
pink,226
watch,224
love,223
making,223
wants,222
orange,217
sit,216
if,212
we're,211
or,208
turn,206
from,206
cat,203
Ma,203
had,203
said,200
him,198
okay,194
let,193
ball,193
name,192
daddy,190
am,188
try,186
says,181
into,180
mom,180
here's,179
car,178
please,177
color,176
looking,174
four,169
made,169
use,169
where'd,168
white,167
have_to,166
didn't,165
train,163
could,163
clean,162
bye,160
fire,160
very,159
wiggle,155
ooh,155
looks,152
happy,150
Bear,149
draw,149
cut,148
la,148
hold,146
were,146
five,145
nursie,143
coming,142
would,142
choo,138
eating,136
birthday,135
truck,135
e,135
called,135
pick,135
way,130
needs,130
came,129
went,128
bird,128
by,127
under,126
ah,124
time,123
black,122
done,122
ice,121
fell,120
pig,119
mean,119
away,115
push,115
kitty,115
six,114
meow,112
fix,112
putting,111
found,110
getting,110
dog,110
hello,110
well,109
apple,108
next,107
their,107
top,106
chocolate,105
fly,105
yep,102
Lucille,102
after,101
might,101
around,100
bring,99
playing,98
sing,97
pretend,96
duck,96
kind,96
sitting,96
seven,96
likes,95
really,95
cheese,94
eight,94
byebye,93
Mommy's,92
guy,92
Dad,92
bunny,91
long,90
trying,90
else,89
nice,89
which,89
stop,88
saw,87
piece,87
b,87
any,87
old,86
our,86
fall,86
whoa,85
different,83
doo,82
sleepy,82
cause,81
still,81
nope,81
won't,81
house,81
ready,80
picture,80
fox,80
taking,79
yogurt,79
again,79
stay,79
having,78
Uncle,77
hit,77
same,77
took,76
dinosaur,76
tree,76
someone,75
bed,75
swim,74
Sally,74
Daddy's,74
tweet,73
juice,73
pull,73
hat,73
quack,72
cow,72
throw,71
thing,71
nine,71
keep,71
hmm,70
doctor,70
ones,70
milk,69
funny,69
o,68
'cause,68
legos,68
sleep,68
wanted,68
number,68
nursies,67
uhoh,67
we'll,67
night,67
drink,66
girl,66
doggy,66
banana,66
wait,66
Ethan,66
ride,65
home,65
wash,65
show,65
shirt,65
stuck,65
things,65
hair,65
its,65
twinkle,65
lot,65
catch,65
leave,64
buy,64
puppy,64
paint,64
wear,63
comes,63
should,63
c,63
press,63
potato,62
snuggle,62
d,62
dad,62
walk,61
broken,61
as,61
move,61
wake,61
great,61
hafta,60
microphone,60
woo,59
wow,59
yup,59
head,59
elephant,59
ding,58
broke,58
box,58
upside,57
close,57
jump,57
toy,57
only,57
live,57
Naima's,57
mama,56
Grandma,56
shoes,56
person,56
boo,56
hot,56
first,56
people,56
Thomas,55
ya,55
ate,55
backpack,55
nose,55
call,55
roll,55
day,55
carry,54
tell,54
guess,54
bottle,54
school,54
cookie,54
Amanda,53
somebody,53
bears,53
friend,53
bit,53
kiss,52
tiny,52
spell,52
koala,52
Gigi,52
sleeping,52
stand,51
Pooh,51
buck,51
egg,51
tape,51
special,51
oil,51
mother,50
police,50
hard,50
side,50
boy,50
potty,50
chicken,50
grandma,50
snow,50
armadillo,50
high,50
dump,50
much,49
actually,49
mouse,49
feel,49
small,49
paper,49
brown,49
doll,49
door,48
silly,48
spider,48
inside,48
friends,48
while,48
bear's,48
through,48
fish,48
tail,48
round,47
many,47
talk,47
hide,47
ten,47
even,46
food,46
part,46
swing,46
always,46
outside,46
one's,46
us,46
ring,45
ha,45
squish,45
gave,45
t,45
block,45
morning,45
last,45
monkey,45
loves,45
forget,45
Arthur,45
yay,45
wearing,45
cold,45
lots_of,45
sticker,44
Ariel,44
wonder,44
chugga,44
used,44
gets,44
cup,44
