DocId,Speaker,Replier,S-Pathsim Avg,R-Pathsim Avg,Sparsity S-R,Sparsity R-S
ale01.xml,OPE,MOT,NA,0.6020541549953314,11,52
ale01.xml,OPE,CHI,0.058823529411764705,NA,8,1
ale01.xml,MOT,OPE,0.625,1.0,13,5
ale01.xml,MOT,CHI,NA,NA,8,1
ale01.xml,ENV,CHI,NA,NA,7,1
ale01.xml,ENV,MOT,NA,1.0,1,6
ale01.xml,CHI,MOT,NA,0.2814225792448808,259,1575
ale01.xml,TOY,CHI,0.09090909090909091,NA,23,1
ale01.xml,TOY,MOT,0.2647059884559885,0.33197542653424994,119,229
ale02.xml,MOT,OPE,0.3833333333333333,NA,20,11
ale02.xml,MOT,CHI,0.4157317615177951,0.08333333333333333,1250,297
ale02.xml,MOT,TOY,0.6904761904761904,NA,23,2
ale02.xml,AD1,CHI,0.058823529411764705,NA,17,16
ale02.xml,MOT,AD1,NA,1.0,8,8
ale02.xml,OPE,CHI,1.0,NA,13,3
ale02.xml,AD1,MOT,0.06666666666666667,0.09090909090909091,2,3
ale02.xml,CHI,AD1,NA,0.06666666666666667,3,2
ale02.xml,MOT,AD2,0.6923076923076922,0.10694444444444443,21,17
ale02.xml,OPE,MOT,NA,NA,16,9
ale02.xml,AD2,MOT,0.4971943277938752,0.6078231292517007,259,68
ale02.xml,AD2,OPE,0.7916666666666667,NA,29,4
ale02.xml,AD2,CHI,0.08333333333333333,NA,16,3
ale02.xml,OPE,AD2,0.06666666666666667,0.45416666666666666,2,8
ale02.xml,CHI,MOT,0.05263157894736842,0.4279970980501248,75,524
ale03.xml,CHI,MOT,0.25269607843137254,0.35676202438253685,484,2245
ale03.xml,CHI,FAT,NA,NA,14,6
ale04.xml,MOT,CHI,0.5041168586862366,NA,580,117
ale04.xml,MOT,TOY,0.2571428571428571,0.08333333333333333,21,3
ale04.xml,CHI,MOT,0.05555555555555555,0.3479135552419985,501,1615
ale04.xml,TOY,MOT,0.08333333333333333,0.41445890157675674,3,277
ale04.xml,GRA,MOT,NA,0.5277777777777778,30,27
ale04.xml,GRA,CHI,1.0,NA,19,3
ale04.xml,CHI,GRA,NA,0.49330808080808075,7,60
ale06.xml,CHI,MOT,0.09262626262626261,0.35266337224866645,571,1812
ale06.xml,CHI,GRA,NA,0.5416666666666666,17,35
ale06.xml,MOT,CHI,0.37818842377665907,NA,442,65
ale06.xml,MOT,GRA,0.3803030303030303,0.53125,41,20
ale06.xml,GRA,MOT,0.5625,0.4417269685652039,28,145
ale06.xml,GRA,CHI,NA,NA,1,2
ale06.xml,FAT,MOT,NA,NA,4,3
ale06.xml,FAT,CHI,NA,NA,1,3
ale06.xml,TOY,MOT,0.08492063492063491,1.0,50,21
ale07.xml,MOT,CHI,0.4234144555271249,0.4970238095238096,2357,509
ale07.xml,MOT,OPE,0.06405228758169934,NA,30,3
ale07.xml,FAT,MOT,0.06376738729679905,0.36367129602423715,24,77
ale07.xml,CHI,MOT,0.4166666666666667,0.4177534774593598,77,168
ale07.xml,CHI,FAT,0.16666666666666666,0.1607142857142857,33,29
ale07.xml,FAT,CHI,0.5277777777777778,NA,21,11
ale07.xml,MOT,FAT,0.6333333333333333,0.2895424836601307,47,28
ale07.xml,GRA,MOT,0.5277777777777778,0.5416666666666666,47,52
ale07.xml,GRA,CHI,0.25,0.08333333333333333,12,7
ale07.xml,CHI,GRA,0.08333333333333333,0.16666666666666666,6,7
ale07.xml,MOT,GRA,0.7333333333333334,0.42777777777777776,30,18
ale07.xml,GRA,FAT,NA,NA,5,5
ale07.xml,FAT,GRA,NA,0.06666666666666667,4,7
ale08.xml,MOT,CHI,0.3886801923566629,0.08333333333333333,433,145
ale08.xml,FAT,CHI,NA,NA,4,7
ale08.xml,MOT,FAT,NA,NA,1,1
ale08.xml,CHI,MOT,0.6291666666666667,0.3936949571672936,479,1746
ale08.xml,FAT,MOT,1.0,1.0,13,25
ale08.xml,CHI,FAT,NA,0.2,8,8
ale09.xml,OPE,CHI,NA,NA,6,2
ale09.xml,OPE,MOT,0.047619047619047616,0.37777777777777777,9,14
ale09.xml,CHI,OPE,NA,1.0,1,4
ale09.xml,MOT,OPE,NA,NA,1,2
ale09.xml,MOT,CHI,0.33339850463099147,0.39690170940170943,1855,573
ale09.xml,MOT,FAT,0.5714285714285714,NA,16,7
ale09.xml,FAT,MOT,0.08333333333333333,0.5595187220187221,8,109
ale09.xml,CHI,MOT,0.39444444444444443,0.4374458874458874,178,306
ale09.xml,CHI,FAT,0.08333333333333333,NA,9,9
